Clause	Title	Release	Applicability	Release Applicability	Comments
5.4.2	Output Power Dynamics in the Uplink / Power control is used to limit the interference level / Inner Loop Power Control in the Uplink	R99	R	RA99	UEs supporting FDD
5.4.2A	Inner Loop Power Control in the Uplink for DC-HSUPA	Rel-9	C_RF86	RA9	UEs supporting FDD and HS-PDSCH and Dual Cell E-DCH (E-DCH Category 8 or 9)
5.4.2B	Inner loop power control in the uplink for OLTD	Rel-11	C_RF122	RA11	UEs supporting FDD and UL OLTD
5.4.2C	Inner Loop Power Control in the Uplink for UL CLTD activation state 1	Rel-11	C_RF121	RA11	UEs supporting FDD and UL CLTD
5.4.2D	Inner Loop Power Control in the Uplink for UL CLTD activation state 2 and 3	Rel-11	C_RF121	RA11	UEs supporting FDD and UL CLTD
5.4.3	Output Power Dynamics in the Uplink / Power control is used to limit the interference level / Minimum Output Power	R99	R	RA99	UEs supporting FDD
5.4.3A	Minimum Output Power for DC-HSUPA	Rel-9	C_RF86	RA9	UEs supporting FDD and HS-PDSCH and Dual Cell E-DCH (E-DCH Category 8 or 9)
5.4.3B	Minimum Output Power for OLTD	Rel-11	C_RF122	RA11	UEs supporting FDD and UL OLTD
5.4.3C	Minimum Output Power for UL CLTD activation state 1	Rel-11	C_RF121	RA11	UEs supporting FDD and UL CLTD
5.4.3D	Minimum Output Power for UL CLTD activation state 2 and 3	Rel-11	C_RF121	RA11	UEs supporting FDD and UL CLTD
5.4.4	Output Power Dynamics in the Uplink / Power control is used to limit the interference level / Out-of-synchronisation handling of output power	R99	C_RF75	RA99	UEs supporting FDD and not supporting type 1 for DCH
5.4.4A	Out-of-synchronization handling of output power for a UE which supports the optional enhanced performance requirements type1 for DCH	R7	C_RF76	RA7	UEs supporting FDD and type 1 for DCH
5.4.4B	Out-of-synchronization handling of output power for OLTD	Rel-11	C_RF122	RA11	UEs supporting FDD and UL OLTD
5.4.4C	Out-of-synchronisation handling of output power for UL CLTD activation state 1	Rel-11	C_RF121	RA11	UEs supporting FDD and UL CLTD
5.4.4D	Out-of-synchronisation handling of output power for UL CLTD activation state 2 and 3	Rel-11	C_RF121	RA11	UEs supporting FDD and UL CLTD
5.4.5	Out of quality handling of TPI for UL CLTD activation state 1	Rel-11	C_RF121	RA11	UEs supporting FDD and UL CLTD
5.5.1	Transmit ON/OFF Power / Transmit OFF Power	R99	R	RA99	UEs supporting FDD
5.5.2	Transmit ON/OFF Power / Transmit ON/OFF Time mask	R99	R	RA99	UEs supporting FDD
5.6	Change of TFC	R99	R	RA99	UEs supporting FDD
5.6AA	Change of TFC for OLTD	Rel-11	C_RF122	RA11	UEs supporting FDD and UL OLTD
5.6AB	Change of TFC for UL CLTD activation state 1	Rel-11	C_RF121	RA11	UE supporting UL CLTD
5.6AC	Change of TFC for UL CLTD activation state 2 and 3	Rel-11	C_RF121	RA11	UE supporting UL CLTD
5.7	Power setting in uplink compressed mode	R99	C_RF01	RA99	UEs supporting FDD and uplink compressed mode.
5.7A	HS-DPCCH	Rel-5	C_RF02	RA5	UEs supporting FDD and HS-PDSCH
5.7BA	HS-DPCCH power control for UL OLTD 	Rel-11	C_RF123	RA11	UEs supporting FDD, UL OLTD and HS-PDSCH and not E-DPDCH
5.7BB	HS-DPCCH power control for UL CLTD activation state 1	Rel-11	C_RF128	RA11	UEs supporting FDD, UL CLTD and HS-PDSCH 
5.7BC	HS-DPCCH power control for UL CLTD activation state 2 and 3	Rel-11	C_RF128	RA11	UEs supporting FDD, UL CLTD and HS-PDSCH 
5.8	Occupied Bandwidth (OBW)	R99	R	RA99	UEs supporting FDD
5.8A	Occupied Bandwidth (OBW) for DC-HSUPA	Rel-9	C_RF86	RA9	UEs supporting FDD and HS-PDSCH and Dual Cell E-DCH (E-DCH Category 8 or 9)
5.8B	Occupied bandwidth (OBW) for OLTD	Rel-11	C_RF122	RA11	UEs supporting FDD and UL OLTD
5.8C	Occupied bandwidth (OBW)  for UL CLTD Activation state 1	Rel-11	C_RF121	RA11	UEs supporting FDD and UL CLTD
5.9	Spectrum emission mask	R99	R	RA99	UEs supporting FDD
5.9A	Spectrum Emission Mask with HS-DPCCH	Rel-5	C_RF02	RA5	UEs supporting FDD and HS-PDSCH
5.9AA	Spectrum Emission Mask with HS-DPCCH for OLTD	Rel-11	C_RF125	RA11	UEs supporting FDD and UL OLTD and HS-PDSCH
5.9AB	Spectrum Emission Mask with HS-DPCCH for UL CLTD activation state 1	Rel-11	C_RF128	RA11	UEs supporting FDD, UL CLTD and HS-PDSCH 
5.9AC	Spectrum Emission Mask with HS-DPCCH for UL CLTD activation state 2 and 3	Rel-11	C_RF128	RA11	UEs supporting FDD, UL CLTD and HS-PDSCH 
5.9B	Spectrum Emission Mask with E-DCH	Rel-6	C_RF23	RA6	UEs supporting FDD and HS-PDSCH and E-DPDCH
5.9BA	Spectrum Emission Mask with E-DCH for OLTD	Rel-11	C_RF124	RA11	UEs supporting FDD and UL OLTD and HS-PDSCH and E-DPDCH
5.9BB	Spectrum Emission Mask with E-DCH for UL CLTD activation state 1	Rel-11	C_RF130	RA11	UEs supporting FDD, UL CLTD, HS-PDSCH and E-DPDCH
5.9BC	Spectrum Emission Mask with E-DCH for UL CLTD activation state 2 and 3	Rel-11	C_RF130	RA11	UEs supporting FDD, UL CLTD, HS-PDSCH and E-DPDCH
5.9C	Additional Spectrum Emission Mask for DC-HSUPA (QPSK)	Rel-9	C_RF86	RA9	UEs supporting FDD and HS-PDSCH and Dual Cell E-DCH (E-DCH Category 8 or 9)
5.9D	Additional Spectrum Emission Mask for DC-HSUPA (16QAM)	Rel-9	C_RF111	RA9	UEs supporting FDD and HS-PDSCH and Dual Cell E-DCH (E-DCH Category 9)
5.10	Adjacent Channel Leakage Power Ratio (ACLR)	R99	R	RA99	UEs supporting FDD
5.10A	Adjacent Channel Leakage Power Ratio (ACLR) with HS-DPCCH	Rel-5	C_RF02	RA5	UEs supporting FDD and HS-PDSCH
5.10AA	Adjacent Channel Leakage Power Ratio (ACLR) with HS-DPCCH for OLTD	Rel-11	C_RF125	RA11	UEs supporting FDD and UL OLTD and HS-PDSCH
5.10AB	Adjacent Channel Leakage Power Ratio (ACLR) with HS-DPCCH for UL CLTD Activation state 1	Rel-11	C_RF128	RA11	UEs supporting FDD, UL CLTD and HS-PDSCH 
5.10AC	Adjacent Channel Leakage Power Ratio (ACLR) with HS-DPCCH for UL CLTD Activation state 2 and 3	Rel-11	C_RF128	RA11	UEs supporting FDD, UL CLTD and HS-PDSCH 
5.10B	Adjacent Channel Leakage Power Ratio (ACLR) with E-DCH	Rel-6	C_RF23	RA6	UEs supporting FDD and HS-PDSCH and E-DPDCH
5.10BA	Adjacent Channel Leakage Power Ratio (ACLR) with E-DCH for OLTD	Rel-11	C_RF124	RA11	UEs supporting FDD and UL OLTD and HS-PDSCH and E-DPDCH
5.10BB	Adjacent Channel Leakage Power Ratio (ACLR) with E-DCH for UL CLTD Activation state 1	Rel-11	C_RF130	RA11	UEs supporting FDD, UL CLTD, HS-PDSCH and E-DPDCH
5.10BC	Adjacent Channel Leakage Power Ratio (ACLR) with E-DCH for UL CLTD Activation state 2 and 3	Rel-11	C_RF130	RA11	UEs supporting FDD, UL CLTD, HS-PDSCH and E-DPDCH
5.10C	Adjacent Channel Leakage Power Ratio (ACLR) with E-DCH for DC-HSUPA (QPSK)	Rel-9	C_RF86	RA9	UEs supporting FDD and HS-PDSCH and Dual Cell E-DCH (E-DCH Category 8 or 9)
5.10D	Adjacent Channel Leakage Power Ratio (ACLR) with E-DCH for DC-HSUPA (16QAM)	Rel-9	C_RF111	RA9	UEs supporting FDD and HS-PDSCH and Dual Cell E-DCH (E-DCH Category 9)
5.11	Spurious Emissions	R99	R	RA99	UEs supporting FDD
5.11A	Spurious Emissions for DC-HSUPA	Rel-9	C_RF86	RA9	UEs supporting FDD and HS-PDSCH and Dual Cell E-DCH (E-DCH Category 8 or 9)
5.11B	Spurious Emissions for UL OLTD	Rel-11	C_RF122	RA11	UEs supporting FDD and UL OLTD
5.11C	Spurious Emissions for UL CLTD Activation state 1	Rel-11	C_RF121	RA11	UEs supporting FDD and UL CLTD
5.11D	Spurious Emissions for UL CLTD Activation state 2 and 3	Rel-11	C_RF121	RA11	UEs supporting FDD and UL CLTD
5.12	Transmit Intermodulation	R99	R	RA99	UEs supporting FDD
5.12A	Transmit Intermodulation for DC HSUPA	Rel-9	C_RF86	RA9	UEs supporting FDD and HS-PDSCH and Dual Cell E-DCH (E-DCH Category 8 or 9)
5.13.1	Transmit Modulation / Error Vector Magnitude (EVM)	R99	R	RA99	UEs supporting FDD
5.13.1A	Error Vector Magnitude (EVM) with HS-DPCCH	Rel-5 only	C_RF02	RF_RO_04	UEs supporting FDD and HS-PDSCH
5.13.1AA	Error Vector Magnitude (EVM) and phase discontinuity with HS-DPCCH	Rel-6	C_RF02	RA6	UEs supporting FDD and HS-PDSCH
5.13.1AB	Error Vector Magnitude (EVM) and phase discontinuity with HS-DPCCH for UL OLTD	Rel-11	C_RF125	RA11	UEs supporting FDD, UL OLTD and HS-PDSCH
5.13.1AC	Error Vector Magnitude (EVM) and phase discontinuity with HS-DPCCH for UL CLTD Activation state 1	Rel-11	C_RF128	RA11	UEs supporting FDD, UL CLTD and HS-PDSCH
5.13.1AD	Error Vector Magnitude (EVM) and phase discontinuity with HS-DPCCH for UL CLTD Activation state 2 and 3	Rel-11	C_RF128	RA11	UEs supporting FDD, UL CLTD and HS-PDSCH
5.13.1AAA	EVM and IQ origin offset for HS-DPCH and E-DCH with 16 QAM	Rel-7	C_RF43	RA7	UEs supporting FDD and HS-PDSCH, E-DPDCH and supporting 16QAM (E-DCH Category 7)
5.13.2	Transmit Modulation / Peak code domain error	R99	C_RF11	RA99	UEs supporting FDD and uplink RMC 768 kbps
5.13.2A	Relative Code Domain Error with HS-DPCCH	Rel-6	C_RF24	RA6	UEs supporting FDD and HS-PDSCH and not E-DPDCH
5.13.2B	Relative Code Domain Error with HS-DPCCH and E-DCH	Rel-6	C_RF23	RA6	UEs supporting FDD and HS-PDSCH and E-DPDCH
5.13.2BA	Relative Code Domain Error with HS-DPCCH and E-DCH for DC-HSUPA	Rel-9	C_RF86	RA9	UEs supporting FDD and HS-PDSCH and Dual Cell E-DCH (E-DCH Category 8 or 9)
5.13.2C	Relative Code Domain Error for HS-DPCCH and E-DCH with 16QAM	Rel-7	C_RF43	RA7	UEs supporting FDD and HS-PDSCH, E-DPDCH and supporting 16QAM (E-DCH Category 7)
5.13.2CA	Relative Code Domain Error for HS-DPCCH and E-DCH with 16QAM for DC-HSUPA	Rel-9	C_RF111	RA9	UEs supporting FDD and HS-PDSCH and Dual Cell E-DCH (E-DCH Category 9)
5.13.3	Transmit Modulation / UE phase discontinuity	Rel-5	R	RA5	UEs supporting FDD
5.13.4	Transmit Modulation PRACH preamble quality	Rel-5	R	RA5	UEs supporting FDD
5.13.5	In-band emission for DC-HSUPA	Rel-9	C_RF86	RA9	UEs supporting FDD and HS-PDSCH and Dual Cell E-DCH (E-DCH Category 8 or 9)
6.2	Receiver Characteristics / Reference Sensitivity Level	R99	R	RA99	UEs supporting FDD
6.2A	Reference sensitivity level for DC-HSDPA	Rel-8	C_RF66	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 21-24
		Rel-9	C_RF80	RA9	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 25-28
6.2B	Reference Sensitivity Level for DB-DC-HSDPA	Rel-9	C_RF84	RA9	UEs supporting FDD and dual band operation
6.2C	Reference sensitivity level for single band 4C-HSDPA	Rel-10	C_RF118	RA10	UEs supporting HS-PDSCH and HS-DSCH categories 29-32
6.2D	Reference sensitivity level for Dual band 4C-HSDPA	Rel-10	C_RF120	RA10	UEs supporting HS-PDSCH and HS-DSCH categories 31-32
6.2DA	Reference sensitivity level for Dual band 4C-HSDPA(3 carrier)	Rel-10	C_RF118	RA10	UEs supporting HS-PDSCH and HS-DSCH categories 29-32
6.3	Receiver Characteristics / Maximum Input Level	R99	R	RA99	UEs supporting FDD
6.3A	Maximum Input Level for HS-PDSCH Reception (16QAM)	Rel-5	C_RF26	RA5	UEs supporting FDD and HS-PDSCH and supporting 16QAM (HS-DSCH Categories 1-10)
		Rel-7	C_RF89	RA7	UEs supporting FDD and HS-PDSCH and supporting 16QAM (HS-DSCH Categories 13-18)
		Rel-8	C_RF45	RA8	UEs supporting FDD and HS-PDSCH and supporting 16QAM (HS-DSCH Categories 19-20)
6.3B	Maximum Input Level for HS-PDSCH Reception (64QAM)	Rel-7	C_RF35	RA7	UEs supporting FDD and HS-PDSCH and supporting 64QAM (HS-DSCH Categories 13, 14, 17, 18)
		Rel-8	C_RF45	RA8	UEs supporting FDD and HS-PDSCH and supporting 64QAM (HS-DSCH Categories 19-20)
6.3C	Maximum Input Level for DC-HSDPA Reception (16QAM)	Rel-8	C_RF66	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 21-24
		Rel-9	C_RF80	RA9	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 25-28
6.3D	Maximum Input Level for DC-HSDPA Reception (64QAM)	Rel-8	C_RF67	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 23-24
		Rel-9	C_RF78	RA9	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 27-28
6.3E	Maximum Input Level for DB-DC-HSDPA Reception (16QAM)	Rel-9	C_RF84	RA9	UEs supporting FDD and dual band operation
6.3F	Maximum Input Level for DB-DC-HSDPA Reception (64QAM)	Rel-9	C_RF85	RA9	UEs supporting FDD and HSDPA UE capability categories 23-24and dual band operation
6.3G	Maximum Input Level for 4C-HSDPA Reception (16QAM)	Rel-10	C_RF120	RA10	UEs supporting HS-PDSCH and HS-DSCH categories 31-32
6.3GA	Maximum Input Level for 4C-HSDPA Reception (16QAM) (3 carrier)	Rel-10	C_RF118	RA10	UEs supporting HS-PDSCH and HS-DSCH categories 29-32
6.3H	Maximum Input Level for 4C-HSDPA Reception (64QAM)	Rel-10	C_RF120	RA10	UEs supporting HS-PDSCH and HS-DSCH categories 31-32
6.3HA	Maximum Input Level for 4C-HSDPA Reception (64QAM) (3 carrier)	Rel-10	C_RF118	RA10	UEs supporting HS-PDSCH and HS-DSCH categories 29-32
6.4	Receiver Characteristics Adjacent Channel Selectivity (ACS) (Rel-99 and Rel-4)	R99 and Rel-4 only	R	RF_RO_02	UEs supporting FDD
6.4A	Receiver Characteristics Adjacent Channel Selectivity (ACS) (Rel-5 and later releases)	Rel-5	R	RA5	UEs supporting FDD
6.4B	Adjacent channel selectivity (ACS) for DC-HSDPA	Rel-8	C_RF66	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 21-24
		Rel-9	C_RF80	RA9	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 25-28
6.4C	Adjacent Channel Selectivity (ACS) for DB-DC-HSDPA	Rel-9	C_RF84	RA9	UEs supporting FDD and dual band operation
6.5.2.1	Blocking Characteristics / In-band blocking	R99	R	RA99	UEs supporting FDD
6.5.2.2	Blocking Characteristics / Out of-band blocking	R99	R	RA99	UEs supporting FDD
6.5.2.3	Blocking Characteristics / Narrow band blocking	R99	C_RF03	RA99	UEs supporting FDD and Band II or Band III or Band IV or Band V or Band VIII or Band X or Band XII or Band XIII or Band XIV
6.5A	Blocking characteristics for DC-HSDPA	Rel-8	C_RF66	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 21-24
		Rel-9	C_RF80	RA9	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 25-28
6.5B	Blocking Characteristics for DB-DC-HSDPA	Rel-9	C_RF84	RA9	UEs supporting FDD and dual band operation
6.5C	Blocking characteristics for DC-HSUPA	Rel-9	C_RF86	RA9	UEs supporting FDD and HS-PDSCH and Dual Cell E-DCH (E-DCH Category 8 or 9)
6.5D	Blocking Characteristics for single Uplink Single band 4C-HSDPA	Rel-10	C_RF118	RA10	UEs supporting HS-PDSCH and HS-DSCH categories 29-32
6.5E	Blocking Characteristics for dual Uplink Single band 4C-HSDPA	Rel-10	C_RF118	RA10	UEs supporting HS-PDSCH and HS-DSCH categories 29-32
6.5F	Blocking Characteristics for single Uplink Dual band 4C-HSDPA	Rel-10	C_RF120	RA10	UEs supporting HS-PDSCH and HS-DSCH categories 31-32
6.5FA	Blocking Characteristics for single Uplink Dual band 4C-HSDPA(3 carrier)	Rel-10	C_RF118	RA10	UEs supporting HS-PDSCH and HS-DSCH categories 29-32
6.5G	Blocking Characteristics for dual Uplink Dual band 4C-HSDPA	Rel-10	C_RF120	RA10	UEs supporting HS-PDSCH and HS-DSCH categories 31-32
6.5GA	Blocking Characteristics for dual Uplink Dual band 4C-HSDPA(3 carrier)	Rel-10	C_RF118	RA10	UEs supporting HS-PDSCH and HS-DSCH categories 29-32
6.6	Spurious Response	R99	R	RA99	UEs supporting FDD
6.6A	Spurious Response for DC-HSDPA	Rel-8	C_RF66	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 21-24
		Rel-9	C_RF80	RA9	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 25-28
6.6B	Spurious Response for DB-DC-HSDPA	Rel-9	C_RF84	RA9	UEs supporting FDD and dual band operation
6.6C	Spurious Response for single band 4C-HSDPA	Rel-10	C_RF118	RA10	UEs supporting HS-PDSCH and HS-DSCH categories 29-32
6.6D	Spurious Response for dual band 4C-HSDPA	Rel-10	C_RF120	RA10	UEs supporting HS-PDSCH and HS-DSCH categories 31-32
6.6DA	Spurious Response for dual band 4C-HSDPA(3 carrier)	Rel-10	C_RF118	RA10	UEs supporting HS-PDSCH and HS-DSCH categories 29-32
6.7	Intermodulation Characteristics / Intermodulation	R99	R	RA99	UEs supporting FDD
	Intermodulation Characteristics / Narrow band intermodulation	R99	C_RF03	RA99	UEs supporting FDD and Band II or Band III or Band IV or Band V or Band VIII or Band X or Band XII or Band XIII or Band XIV
6.7A	Intermodulation Characteristics for DC-HSDPA	Rel-8	C_RF66	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 21-24
		Rel-9	C_RF80	RA9	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 25-28
6.7B	Intermodulation Characteristics for DB-DC-HSDPA	Rel-9	C_RF84	RA9	UEs supporting FDD and dual band operation
6.7C	Intermodulation Characteristics for DC-HSUPA	Rel-9	C_RF86	RA9	UEs supporting FDD and HS-PDSCH and Dual Cell E-DCH (E-DCH Category 8 or 9)
6.7D	Intermodulation Characteristics for single uplink single band 4C-HSDPA	Rel-10	C_RF118	RA10	UEs supporting HS-PDSCH and HS-DSCH categories 29-32
6.7E	Intermodulation Characteristics for single uplink dual band 4C-HSDPA	Rel-10	C_RF120	RA10	UEs supporting HS-PDSCH and HS-DSCH categories 31-32
6.7EA	Intermodulation Characteristics for single uplink dual band 4C-HSDPA(3 carrier)	Rel-10	C_RF118	RA10	UEs supporting HS-PDSCH and HS-DSCH categories 29-32
6.8	Spurious Emissions	R99	R	RA99	UEs supporting FDD
6.8A	Spurious Emissions for DB-DC-HSDPA	Rel-9	C_RF144	RA9	UEs supporting FDD and dual band operation with DB-DC-HSDPA Configuration 6
7.2.1	Demodulation in Static Propagation conditions / Demodulation of Dedicated Channel (DCH) / Test 1	R99	R	RA99	UEs supporting FDD 
	Demodulation in Static Propagation conditions / Demodulation of Dedicated Channel (DCH) / Test 2	R99	C_RF08	RA99	UEs supporting FDD and downlink RMC 64 kbps
	Demodulation in Static Propagation conditions / Demodulation of Dedicated Channel (DCH) / Test 3	R99	C_RF09	RA99	UEs supporting FDD and downlink RMC 144 kbps
	Demodulation in Static Propagation conditions / Demodulation of Dedicated Channel (DCH) / Test 4	R99	C_RF10	RA99	UEs supporting FDD and downlink RMC 384 kbps
7.2.2	Demodulation in Static Propagation conditions / Demodulation of Dedicated Channel (DCH) when (DL_DCH_FET_Config) is configured by higher layers / Test 1	Rel-12	C_RF145	RA12	UEs supporting FDD and DCH Enhancements
7.3.1	Demodulation of DCH in Multi-path Fading Propagation conditions / Single Link Performance / Test 1	R99	R	RA99	UEs supporting FDD 
	Demodulation of DCH in Multi-path Fading Propagation conditions / Single Link Performance / Test 2	R99	C_RF08	RA99	UEs supporting FDD and downlink RMC 64 kbps
	Demodulation of DCH in Multi-path Fading Propagation conditions / Single Link Performance / Test 3	R99	C_RF09	RA99	UEs supporting FDD and downlink RMC 144 kbps
	Demodulation of DCH in Multi-path Fading Propagation conditions / Single Link Performance / Test 4	R99	C_RF10	RA99	UEs supporting FDD and downlink RMC 384 kbps
	Demodulation of DCH in Multi-path Fading Propagation conditions / Single Link Performance / Test 5	R99	R	RA99	UEs supporting FDD 
	Demodulation of DCH in Multi-path Fading Propagation conditions / Single Link Performance / Test 6	R99	C_RF08	RA99	UEs supporting FDD and downlink RMC 64 kbps
	Demodulation of DCH in Multi-path Fading Propagation conditions / Single Link Performance / Test 7	R99	C_RF09	RA99	UEs supporting FDD and downlink RMC 144 kbps
	Demodulation of DCH in Multi-path Fading Propagation conditions / Single Link Performance / Test 8	R99	C_RF10	RA99	UEs supporting FDD and downlink RMC 384 kbps
	Demodulation of DCH in Multi-path Fading Propagation conditions / Single Link Performance / Test 9	R99	R	RA99	UEs supporting FDD 
	Demodulation of DCH in Multi-path Fading Propagation conditions / Single Link Performance / Test 10	R99	C_RF08	RA99	UEs supporting FDD and downlink RMC 64 kbps
	Demodulation of DCH in Multi-path Fading Propagation conditions / Single Link Performance / Test 11	R99	C_RF09	RA99	UEs supporting FDD and downlink RMC 144 kbps
	Demodulation of DCH in Multi-path Fading Propagation conditions / Single Link Performance / Test 12	R99	C_RF10	RA99	UEs supporting FDD and downlink RMC 384 kbps
	Demodulation of DCH in Multi-path Fading Propagation conditions / Single Link Performance / Test 13	R99	R	RA99	UEs supporting FDD
	Demodulation of DCH in Multi-path Fading Propagation conditions / Single Link Performance / Test 14	R99	C_RF08	RA99	UEs supporting FDD and downlink RMC 64 kbps
	Demodulation of DCH in Multi-path Fading Propagation conditions / Single Link Performance / Test 15	R99	C_RF09	RA99	UEs supporting FDD and downlink RMC 144 kbps
