Clause	TC Title	Release	Applicability		Additional Information			
6.1.1.4a	PLMN selection in shared network environment / Automatic mode / Between FDD and TDD	Rel-8	C142a	UEs supporting E-UTRA FDD and E-UTRA TDD and NOT Category M1				
6.1.1.6	PLMN selection of RPLMN, HPLMN/EHPLMN, UPLMN and OPLMN / Automatic mode / User reselection	Rel-8	C157a	UEs supporting E-UTRA and user initiated PLMN reselection in automatic mode and NOT Category M1	pc_eFDD		Either TC 6.1.1.6 or TC 6.1.1.6a shall be executed. (Note 4)	
					pc_eTDD			
6.1.1.6a	PLMN selection of RPLMN, HPLMN/EHPLMN, UPLMN and OPLMN / Automatic mode / User reselection / Single Frequency operation	Rel-8	C157	UEs supporting E-UTRA and user initiated PLMN reselection in automatic mode. This test is 'cells on single frequency only' equivalent of 6.1.1.6	pc_eFDD		Either TC 6.1.1.6 or TC 6.1.1.6a shall be executed. (Note 4)	
					pc_eTDD			
6.1.1.7	PLMN selection / Periodic reselection / MinimumPeriodicSearchTimer	Rel-10	C179a	UEs supporting E-UTRA and MinimumPeriodicSearchTimer and not supporting "Fast First Higher Priority PLMN search" and NOT Category M1	pc_eFDD		Either TC 6.1.1.7 or TC 6.1.1.7a shall be executed. (Note 8)	
					pc_eTDD			
6.1.1.7a	PLMN selection / Periodic reselection / MinimumPeriodicSearchTimer / Single Frequency operation	Rel-10	C179	UEs supporting E-UTRA and MinimumPeriodicSearchTimer and not supporting "Fast First Higher Priority PLMN search". This test is 'cells on single frequency only' equivalent of 6.1.1.7	pc_eFDD		Either TC 6.1.1.7 or TC 6.1.1.7a shall be executed. (Note 8)	
					pc_eTDD			
6.1.1.8	PLMN selection of RPLMN or (E)HPLMN; Automatic mode	Rel-8	C212	UEs supporting E-UTRA and EF_LRPLMSI_Exception and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.1.1.9	PLMN selection of RPLMN or (E)HPLMN; Manual mode	Rel-8	C213	UEs supporting E-UTRA and ManualModeNetworkSelectionException	pc_eFDD			
					pc_eTDD			
6.1.2.1	Void							
6.1.2.2	Cell selection / Qrxlevmin	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.1.2.2a	Cell selection / Qqualmin	Rel-9	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD		Note 3	
					pc_eTDD			
6.1.2.2b	Cell selection / UE Cat 0 not allowed	Rel-12	C224	UEs supporting E-UTRA and UE Category 0	pc_eFDD			
					pc_eTDD			
6.1.2.2c	Cell selection / Qrxlevmin / Enhanced Coverage	Rel-13	C254	UEs supporting E-UTRA and (CE mode A or CE mode B)	pc_eFDD			
					pc_eTDD			
6.1.2.2d	Cell selection / Qqualmin / Enhanced Coverage	Rel-13	C254	UEs supporting E-UTRA and (CE mode A or CE mode B)	pc_eFDD			
					pc_eTDD			
6.1.2.3	Cell selection / Intra E-UTRAN / Serving cell becomes non-suitable (S<0 or barred)	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.1.2.3a	Cell selection / Intra E-UTRAN / Serving cell becomes non-suitable (Srxlev > 0 and Squal < 0)	Rel-9	R	UEs supporting E-UTRA	pc_eFDD		Note 3	
					pc_eTDD			
6.1.2.4	Cell reselection	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
6.1.2.5	Cell reselection for interband operation	Rel-8	C184	UEs supporting E-UTRA and more than 1 FDD or TDD E-UTRA band and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.1.2.5a	Cell reselection for interband operation/ Power Class 2 UE operation/ Between FDD and TDD	Rel-14	C281	UEs supporting E-UTRA FDD and E-UTRA TDDand Band 41 Power class 2 operation and NOT Category M1	pc_eFDD		Note 17	
6.1.2.5b	Cell reselection for interband operation using Pcompensation / Between FDD and TDD	Rel-14	C142a	UEs supporting E-UTRA FDD and E-UTRA TDD and NOT Category M1			Note 17	
6.1.2.5c	Inter-band cell reselection / Extended frequency list	Rel-12	C184	UEs supporting E-UTRA and more than 1 FDD or TDD E-UTRA band and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.1.2.6	Cell reselection using Qhyst, Qoffset and Treselection	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.1.2.6a	Cell reselection using Treselection / Enhanced Coverage	Rel-13	C254	UEs supporting E-UTRA and (CE mode A or CE mode B)	pc_eFDD			
					pc_eTDD			
6.1.2.6b	Cell reselection for enhanced coverage	Rel-13	C254b	UEs supporting E-UTRA and (CE mode A or CE mode B) and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.1.2.7	Cell reselection / Equivalent PLMN	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD		Either TC 6.1.2.7 or TC 6.1.2.7a shall be executed. (Note 4)	
					pc_eTDD			
6.1.2.7a	Cell reselection / Equivalent PLMN / Single Frequency operation	Rel-8	R	UEs supporting E-UTRA. This test is 'cells on single frequency only ' equivalent of 6.1.2.7	pc_eFDD		Either TC 6.1.2.7 or TC 6.1.2.7a shall be executed. (Note 4)	
					pc_eTDD			
6.1.2.8	Cell reselection using cell status and cell reservations / Access control class 0 to 9	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD		Either TC 6.1.2.8 or TC 6.1.2.8a shall be executed. (Note 4)	
					pc_eTDD			
6.1.2.8a	Cell reselection using cell status and cell reservations / Access control class 0 to 9 / Single Frequency operation	Rel-8	R	UEs supporting E-UTRA. This test is 'cells on single frequency only ' equivalent of 6.1.2.8	pc_eFDD		Either TC 6.1.2.8 or TC 6.1.2.8a shall be executed. (Note 4)	
					pc_eTDD			
6.1.2.9	Cell reselection using cell status and cell reservations / Access control class 11 to 15	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD		Either TC 6.1.2.9 or TC 6.1.2.9a shall be executed. (Note 4)	
					pc_eTDD			
6.1.2.9a	Cell reselection using cell status and cell reservations / Access control class 11 to 15 / Single Frequency operation	Rel-8	R	UEs supporting E-UTRA. This test is 'cells on single frequency only ' equivalent of 6.1.2.9	pc_eFDD		Either TC 6.1.2.9 or TC 6.1.2.9a shall be executed. (Note 4)	
					pc_eTDD			
6.1.2.10	Cell reselection in shared network environment	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
6.1.2.11	Inter-frequency cell reselection	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.1.2.11a	Inter-frequency cell reselection / Extended frequency list	Rel-12	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.1.2.12	Cell reselection / Cell-specific reselection parameters provided by the network in a neighbouring cell list	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.1.2.13	Cell reselection, Sintrasearch, Snonintrasearch	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.1.2.14	Speed-dependent cell reselection	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.1.2.15	Inter-frequency cell reselection according to cell reselection priority provided by SIBs	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.1.2.15a	Inter-frequency cell reselection according to cell reselection priority provided by SIBs / Between FDD and TDD	Rel-9	C142a	UEs supporting E-UTRA FDD and E-UTRA TDD and NOT Category M1			Note 3	
6.1.2.15b	Inter-band cell reselection according to cell reselection priority provided by SIBs	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.1.2.16	Cell reselection / interband operation / Between FDD and TDD	Rel-9	C142a	UEs supporting E-UTRA FDD and E-UTRA TDD and NOT Category M1			Note 3	
6.1.2.17	Cell reselection for Squal to check against SIntraSearchQ and SnonIntraSearchQ	Rel-9	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD		Note 3	
					pc_eTDD			
6.1.2.18	Inter-frequency cell reselection based on common priority information with parameters ThreshX, HighQ, ThreshX, LowQ and ThreshServing, LowQ	Rel-9	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD		Note 3	
					pc_eTDD			
6.1.2.19	Intra-frequency cell reselection / MFBI	Rel-9	C189F	UEs supporting E-UTRA and MFBI feature indicated by Feature Group Indicator 31	pc_eFDD		Note 3	
			C189T		pc_eTDD			
6.1.2.20	Inter-frequency cell reselection / MFBI	Rel-9	C189bF	UEs supporting E-UTRA and MFBI feature indicated by Feature Group Indicator 31 and NOT Category M1	pc_eFDD		Note 3	
			C189bT		pc_eTDD			
6.1.2.21	Inter-band cell reselection / MFBI	Rel-9	C189F	UEs supporting E-UTRA and MFBI feature indicated by Feature Group Indicator 31 and NOT Category M1	pc_eFDD		Note 3	
			C189T		pc_eTDD			
6.1.2.22	Cell reselection / MFBI / UE does not supportmultiBandInfoList	Rel-8 to Rel-9 only	C229	UEs supporting E-UTRA and not support MFBI feature indicated by Feature Group Indicator 31 and NOT Category M1	pc_eFDD			
			C230		pc_eTDD			
6.1.2.23	Inter-band cell reselection / MFBI frequency band priority adjustment/Inter-band CA	Rel-12	C257	UEs supporting E-UTRA and MFBI feature indicated by Feature Group Indicator 31 and freqBandIndicatorPriority-r12 and Inter-band Carrier Aggregation	pc_eFDD			
			C258		pc_eTDD			
6.2.1.1	Inter-RAT PLMN Selection / Selection of correct RAT for OPLMN / Automatic mode	Rel-8	C150	UEs supporting E-UTRA and UTRA, or E-UTRA and UTRA and GERAN and NOT Category M1	pc_eFDD			
					pc_eTDD			Rel-9 UTRA TDD
6.2.1.2	Inter-RAT PLMN Selection / Selection of correct RAT for UPLMN / Automatic mode	Rel-8	C01	UEs supporting E-UTRA and UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			Rel-9 UTRA TDD
6.2.1.3	Inter-RAT PLMN Selection / Selection of correct PLMN and RAT in shared network environment / Automatic mode	Rel-8	C01	UEs supporting E-UTRA and UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			Rel-9 UTRA TDD
6.2.1.4	Inter-RAT PLMN Selection / Selection of correct RAT from the OPLMN list / Manual mode	Rel-8	C214	UEs supporting E-UTRA and GERAN and not supporting ManualModeNetworkSelectionException and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.1.6	Inter-RAT Background HPLMN Search / Search for correct RAT for HPLMN / Automatic Mode	Rel-8	C05	UEs supporting E-UTRA and GERAN and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.2.1	Inter-RAT cell selection / From E-UTRA RRC_IDLE to UTRA_Idle / Serving cell becomes non-suitable 	Rel-8	C01	UEs supporting E-UTRA and UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			Rel-9 UTRA TDD
6.2.2.2	Inter-RAT cell selection / From E-UTRA RRC_IDLE to GSM_Idle/GPRS Packet_idle / Serving cell becomes non-suitable	Rel-8	C05	UEs supporting E-UTRA and GERAN and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.2.3	Inter-RAT cell selection / From E-UTRA RRC_IDLE to HRPD Idle / Serving cell becomes non-suitable 	Rel-8	C06	UEs supporting E-UTRA and HRPD and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.2.4	Inter-RAT cell selection / From E-UTRAN RRC_IDLE to 1xRTT idle / Serving cell becomes non-suitable 	Rel-8	C07	UEs supporting E-UTRA and 1xRTT and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.2.5	Cell selection / No USIM	Rel-8 	C182	UEs supporting E-UTRA and UTRA and not supporting of IMS emergency call and NOT Category M1	pc_eFDD			
					pc_eTDD			Rel-9 UTRA TDD
6.2.2.6	Inter-RAT Cell selection / From GSM_Idle/GPRS Packet_idle to E-UTRA_RRC_IDLE / Serving cell becomes non-suitable	Rel-8	C05	UEs supporting E-UTRA and GERAN and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.2.7	Inter-RAT Cell selection / From GSM_Idle/GPRS Packet_idle to E-UTRA_RRC_IDLE ,when the serving cell is barred	Rel-8	C05	UEs supporting E-UTRA and GERAN and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.2.8	Inter-RAT cell selection / From UTRA_Idle to E-UTRA RRC_IDLE / Serving cell becomes non-suitable	Rel-8	C01	UEs supporting E-UTRA and UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			Rel-9 UTRA TDD
6.2.3.1	Inter-RAT cell reselection / From E-UTRA RRC_IDLE to GSM_Idle/GPRS Packet_Idle	Rel-8	C05	UEs supporting E-UTRA and GERAN and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.3.1a	Inter-RAT cell reselection / From E-UTRA RRC_IDLE to GSM_Idle/GPRS Packet_Idle (Squal < ThreshServing, LowQ, Srxlev > ThreshX, LowP and Srxlev > ThreshX, HighP)	Rel-9	C171	UEs supporting E-UTRA and GERAN and Squal based cell reselection between E-UTRAN and GERAN and NOT Category M1	pc_eFDD		Note 3	Rel-8 GERAN
					pc_eTDD			
6.2.3.2	Void							
6.2.3.3	Inter-RAT cell reselection / From UTRA_Idle to E-UTRA RRC_IDLE	Rel-8	C01	UEs supporting E-UTRA and UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			Rel-9 UTRA TDD
6.2.3.3a	Inter-RAT cell reselection / From UTRA_Idle to E-UTRA RRC_IDLE (QqualminEUTRA, SqualServingCell < Threshserving,low2, SqualnonServingCell,x > Threshx, low2 and SqualnonServingCell,x > Threshx, high2)	Rel-9	C126	UEs supporting E-UTRA and UTRA and supporting Squal based cell reselection to UTRAN from E-UTRAN and NOT Category M1	pc_eFDD		Note 3	Rel-9 UTRA FDD
6.2.3.4	Inter-RAT Cell Reselection / From UTRA_CELL_PCH state to E-UTRA RRC_IDLE	Rel-8	C77	UEs supporting E-UTRA and UTRA and EUTRA Feature Group Indicator 1 and NOT Category M1	pc_eFDD			
					pc_eTDD			Rel-9 UTRA TDD
6.2.3.4a	Inter-RAT Cell Reselection / From UTRA_CELL_PCH state to E-UTRA RRC_IDLE based on RSRQ+RSRP evaluation	Rel-9	C77	UEs supporting E-UTRA and UTRA and EUTRA Feature Group Indicator 1 and NOT Category M1	pc_eFDD		Note 3	Rel-9 UTRA FDD
					pc_eTDD			Rel-9 UTRA TDD
6.2.3.5	Inter-RAT cell reselection / From E-UTRA RRC_IDLE to UTRA_Idle	Rel-8	C01	UEs supporting E-UTRA and UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			Rel-9 UTRA TDD
6.2.3.5a	Inter-RAT cell reselection / From E-UTRA RRC_IDLE to UTRA_Idle (Squal > ThreshX, HighQ, Squal < ThreshServing, LowQ, Squal > ThreshX, LowQ and SnonIntraSearchQ)	Rel-9	C127	UEs supporting E-UTRA and UTRA and supporting Squal based cell reselection to E-UTRAN from UTRAN and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
6.2.3.6	Inter-RAT cell reselection / From E-UTRA RRC_IDLE to UTRA_Idle according to RAT priority provided by dedicated signalling	Rel-8	C01	UEs supporting E-UTRA and UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			Rel-9 UTRA TDD
6.2.3.7	Inter-RAT cell reselection / From E-UTRA RRC_IDLE to HRPD Idle / HRPD cell is higher reselection priority than E-UTRA	Rel-8	C06	UEs supporting E-UTRA and HRPD and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.3.7a	Inter-RAT cell reselection / From E-UTRA RRC_IDLE to HRPD Idle / HRPD cell is higher reselection priority than E-UTRA (Srxlev > ThreshHRPD, HighP)	Rel-9	C06	UEs supporting E-UTRA and HRPD and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.3.8	Inter-RAT cell reselection / From E-UTRA RRC_IDLE to HRPD Idle / HRPD is lower reselection priority than E-UTRA	Rel-8	C06	UEs supporting E-UTRA and HRPD and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.3.8a	Inter-RAT cell reselection / From E-UTRA RRC_IDLE to HRPD Idle / HRPD cell is lower reselection priority than E-UTRA (Squal < ThreshServing, LowQ and Srxlev > ThreshHRPD, LowP	Rel-9	C06	UEs supporting E-UTRA and HRPD and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.3.9	Inter-RAT Cell Reselection: from E-UTRA RRC_IDLE to CDMA2000 1xRTT Dormant- When CDMA2000 1xRTT cell is higher reselection priority than E-UTRA	Rel-8	C07	UEs supporting E-UTRA and 1xRTT and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.3.9a	Inter-RAT cell reselection / From E-UTRA RRC_IDLE to 1xRTT Dormant / 1xRTT cell is higher reselection priority than E-UTRA (Srxlev > Thresh1xRTT, HighP)	Rel-9	C07	UEs supporting E-UTRA and 1xRTT and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.3.10	Inter-RAT Cell Reselection: from E-UTRA RRC_IDLE to CDMA2000 1xRTT Idle - When CDMA2000 1xRTT is lower reselection priority than E-UTRA	Rel-8	C07	UEs supporting E-UTRA and 1xRTT and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.3.10a	Inter-RAT cell reselection / From E-UTRA RRC_IDLE to 1xRTT Dormant / 1xRTT cell is lower reselection priority than E-UTRA (Squal < ThreshServing, LowQ and Srxlev > Thresh1xRTT, LowP)	Rel-9	C07	UEs supporting E-UTRA and 1xRTT and NOT Category M1	pc_eFDD		Note 3	
					pc_eTDD			
6.2.3.13	Inter-RAT cell reselection / From UTRA_Idle to E-UTRA RRC_IDLE according to RAT priority provided by dedicated signalling	Rel-8	C01	UEs supporting E-UTRA and UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			Rel-9 UTRA TDD
6.2.3.14	Inter-RAT Cell Reselection / from GSM_Idle/GPRS Packet_Idle to E-UTRA (priority of E-UTRA cells are higher than the serving cell)	Rel-8	C05	UEs supporting E-UTRA and GERAN and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.3.15	Inter-RAT Cell Reselection / from GSM_Idle/GPRS Packet_Idle to E-UTRA (priority of E-UTRA cells are lower than the serving cell)	Rel-8	C05	UEs supporting E-UTRA and GERAN and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.3.16	Inter-RAT Cell Reselection / from GSM_Idle to E-UTRAN /based on H_PRIO criteria	Rel-8	C05	UEs supporting E-UTRA and GERAN and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.3.17	Inter-RAT Cell Reselection / from GSM_Idle/GPRS Packet_Idle to E-UTRA (priority E-UTRA cells)	Rel-8	C05	UEs supporting E-UTRA and GERAN and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.3.18	Inter-RAT Cell Reselection / from GSM_Idle/GPRS Packet_Idle to E-UTRA (blacklisted E-UTRA cells)	Rel-8	C05	UEs supporting E-UTRA and GERAN and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.3.19	Redirection to E-UTRA upon the release of the CS connection	Rel-8	C115	UEs supporting E-UTRA and GERAN and speech and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.3.20	Void							
6.2.3.21	Inter-RAT cell reselection / From GPRS Packet_transfer (NC0 mode) to E-UTRA	Rel-8	C66	UEs supporting E-UTRA and GERAN and GERAN to E-UTRAN neighbour cell measurements and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.3.22	Void							
6.2.3.23	Inter-RAT Cell Reselection from GPRS Packet transfer to E-UTRA in CCN mode (PACKET CELL CHANGE CONTINUE)	Rel-8	C114	UEs supporting E-UTRA and GERAN and CCN towards E-UTRAN, E-UTRAN Neighbour Cell measurement reporting and Network controlled cell reselection to E-UTRAN and NOT Category M1	pc_eFDD			
6.2.3.24	Inter-RAT Cell Reselection from GPRS Packet transfer to E-UTRA in CCN mode (PACKET CELL CHANGE ORDER)	Rel-8	C114	UEs supporting E-UTRA and GERAN and CCN towards E-UTRAN, E-UTRAN Neighbour Cell measurement reporting and Network controlled cell reselection to E-UTRAN and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.3.26	Inter-RAT Autonomous Cell Reselection GPRS Packet_transfer to E-UTRA (NC1 mode)	Rel-8	C114	UEs supporting E-UTRA and GERAN and CCN towards E-UTRAN, E-UTRAN Neighbour Cell measurement reporting and Network controlled cell reselection to E-UTRAN and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.3.27	Inter-RAT Cell Selection from GPRS Packet_transfer to E-UTRA (NC2 mode)	Rel-8	C114	UEs supporting E-UTRA and GERAN and CCN towards E-UTRAN, E-UTRAN Neighbour Cell measurement reporting and Network controlled cell reselection to E-UTRAN and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.3.28	Inter-RAT Cell Reselection from GPRS Packet_transfer to E-UTRA (Network Assisted Cell Change)	Rel-8	C114	UEs supporting E-UTRA and GERAN and CCN towards E-UTRAN, E-UTRAN Neighbour Cell measurement reporting and Network controlled cell reselection to E-UTRAN and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.3.29	Inter-RAT cell Reselection from GPRS packet_transfer to E-UTRA in CCN mode (PACKET MEASUREMENT ORDER)	Rel-8	C114	UEs supporting E-UTRA and GERAN and CCN towards E-UTRAN, E-UTRAN Neighbour Cell measurement reporting and Network controlled cell reselection to E-UTRAN and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.3.30	Inter-RAT Cell Reselection failure from GPRS Packet transfer to E-UTRA (Network Assisted Cell Change)	Rel-8	C114	UEs supporting E-UTRA and GERAN and CCN towards E-UTRAN, E-UTRAN Neighbour Cell measurement reporting and Network controlled cell reselection to E-UTRAN and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.2.3.31	Inter-RAT cell reselection / From UTRA_Idle (low priority) to E-UTRA RRC_IDLE (high priority) according to RAT priority provided by dedicated signalling	Rel-8	C01	UEs supporting E-UTRA and UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			Rel-9 UTRA TDD
6.2.3.32	Inter-RAT cell reselection / From E-UTRA RRC_IDLE to UTRA_Idle, Snonintrasearch	Rel-8	C01	UEs supporting E-UTRA and UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			Rel-9 UTRA TDD
6.2.3.33	Inter-RAT cell reselection / From E-UTRA RRC_IDLE to UTRA_Idle / Squal based cell reselection parameters are broadcasted in E-UTRAN / UE does not support Squal based cell reselection in UTRAN	Rel-9	C131	UEs supporting E-UTRA and UTRA and not supporting Squal based cell reselection to E-UTRAN from UTRAN and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
					pc_eTDD			
6.2.3.34	Inter-RAT cell reselection from E-UTRA to UTRA / MFBI	Rel-9	C189aF	UEs supporting E-UTRA and UTRA FDD and MFBI feature indicated by Feature Group Indicator 31 and NOT Category M1	pc_eFDD			
			C189aT		pc_eTDD			
6.2.3.35	Inter-RAT cell reselection from UTRA to E-UTRA / MFBI	Rel-10	C189aF	UEs supporting E-UTRA and UTRA FDD and MFBI feature indicated by Feature Group Indicator 31 and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
			C189aT		pc_eTDD		Note 7	Rel-9 UTRA TDD
6.2.4.1	Inter-RAT absolute priority based reselection in UTRA CELL_FACH to E-UTRA RRC_IDLE (Higher Priority Layers, Srxlev,x > Threshx,high and Srxlev,serv > Sprioritysearch1 and SqualServ > Sprioritysearch2)	Rel-11	C01a	UEs supporting E-UTRA and UTRA FDD and support of High Priority layer measurements and cell Reselection procedure in CELL_FACH and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
					pc_eTDD			
6.2.4.2	Inter-RAT absolute priority based reselection in UTRA CELL_FACH (Higher Priority Layers, no cell reselection to E-UTRA RRC_IDLE when Srxlev,serv < Sprioritysearch1)	Rel-11	C01a	UEs supporting E-UTRA and UTRA FDD and support of High Priority layer measurements and cell Reselection procedure in CELL_FACH and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
					pc_eTDD			
6.2.4.3	Inter-RAT absolute priority based reselection in UTRA _CELL_FACH to E-UTRA RRC_IDLE (Higher Priority Layers, Squal,x > Threshx,high2 and Srxlev,serv > Sprioritysearch1 and SqualServ > Sprioritysearch2)	Rel-11	C01a	UEs supporting E-UTRA and UTRA FDD and support of High Priority layer measurements and cell Reselection procedure in CELL_FACH and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
					pc_eTDD			
6.2.4.4	Inter-RAT absolute priority based reselection in UTRA CELL_FACH (lower priority) to E-UTRA RRC_IDLE (higher priority) (All Layers, Srxlev,x > Threshx,high)	Rel-11	C01b	UEs supporting E-UTRA and UTRA FDD and support of all priority layer measurements and cell reselection procedure in CELL_FACH and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
					pc_eTDD			
6.2.4.5	Inter-RAT absolute priority based reselection in UTRA CELL_FACH (lower priority) to E-UTRA RRC_IDLE (higher priority) (All Layers, Squal,x >ThreshX,high2)	Rel-11	C01b	UEs supporting E-UTRA and UTRA FDD and support of all priority layer measurements and cell reselection procedure in CELL_FACH and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
					pc_eTDD			
