Item	Description	Re-lease	Test sequence (s)	Rel 99 ME	Rel-4 ME	Rel-5 ME	Rel-6 ME	Rel-7 ME	Rel-8 ME	Rel-9 ME	Rel-10 ME	Rel-11 ME	Rel-12 ME	Rel-13 ME	Rel-14 ME	Terminal Profile	Network Dependency	Sup-port	Additional test case execution parameter
	Session terminated by user	R99	1.8	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/17 AND E.1/110 AND E.1/111	No		
	Command not understood by ME	R99	1.9	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	E.1/17 AND E.1/110	No		
	no response from user	R99	2.1	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	E.1/17 AND E.1/110 AND E.1/111	No		
	Extension Text	R99	3.1	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	E.1/17 AND E.1/16 AND E.1/110	No		
	sustained text	R99	4.1, 4.2	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	E.1/17 AND E.1/65 AND E.1/110	No		
	sustained text	R99	4.3	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/17 AND  E.1/65 AND E.1/110 AND E.1/111	No		
	sustained text	R99	4.4	C177 AND C180	C177 AND C180	C177 AND C180	C177 AND C180	C177 AND C180	C177 AND C180 AND C183	C177 AND C180 AND C183	C177 AND C180 AND C183	C177 AND C180 AND C183	C177 AND C180 AND C183	C177 AND C180 AND C183	C177 AND C180 AND C183	E.1/17  AND E.1/65  AND E.1/110	UMTS System Simulator or System Simulator only		
	Icons – basic icon	R99	5.1, 5.3	C108 AND C177	C108 AND C177	C108 AND C177	C108 AND C177	C108 AND C177	C108 AND C177	C108 AND C177	C108 AND C177	C108 AND C177	C108 AND C177	C108 AND C177	C108 AND C177	E.1/17 AND E.1/110	No		
	Icons – colour icon	R99	5.2	C171 AND C177	C171 AND C177	C171 AND C177	C171 AND C177	C171 AND C177	C171 AND C177	C171 AND C177	C171 AND C177	C171 AND C177	C171 AND C177	C171 AND C177	C171 AND C177	E.1/17 AND E.1/110	No		
	UCS2 display in Cyrillic	R99	6.1	C118 AND C177	C118 AND C177	C118 AND C177	C118 AND C177	C118 AND C177	C118 AND C177	C118 AND C177	C118 AND C177	C118 AND C177	C118 AND C177	C118 AND C177	C118 AND C177	E.1/17 AND E.1/15 AND E.1/110	No		
	Variable Timeout	Rel-4	7.1		C126 AND C177 AND C178	C126 AND C177 AND C178	C126 AND C177 AND C178	C126 AND C177 AND C178	C126 AND C177 AND C178	C126 AND C177 AND C178	C126 AND C177 AND C178	C126 AND C177 AND C178	C126 AND C177 AND C178	C126 AND C177 AND C178	C126 AND C177 AND C178	E.1/17 AND E.1/137 AND E.1/110 AND E.1/111	No		
	Text attribute – left alignment	Rel-5	8.1			C153 AND C177	C153 AND C177	C153 AND C177	C153 AND C177	C153 AND C177	C153 AND C177	C153 AND C177	C153 AND C177	C153 AND C177	C153 AND C177	E.1/17 AND E.1/124 AND E.1/217 AND E.1/110	No		
	Text attribute – center alignment	Rel-5	8.2			C154 AND C177	C154 AND C177	C154 AND C177	C154 AND C177	C154 AND C177	C154 AND C177	C154 AND C177	C154 AND C177	C154 AND C177	C154 AND C177	E.1/17 AND E.1/124 AND E.1/218 AND E.1/110	No		
	Text attribute – right alignment	Rel-5	8.3			C155 AND C177	C155 AND C177	C155 AND C177	C155 AND C177	C155 AND C177	C155 AND C177	C155 AND C177	C155 AND C177	C155 AND C177	C155 AND C177	E.1/17 AND E.1/124 AND E.1/219 AND E.1/110	No		
	Text attribute – large font size	Rel-5	8.4			C157 AND C156 AND C177	C157 AND C156 AND C177	C157 AND C156 AND C177	C157 AND C156 AND C177	C157 AND C156 AND C177	C157 AND C156 AND C177	C157 AND C156 AND C177	C157 AND C156 AND C177	C157 AND C156 AND C177	C157 AND C156 AND C177	E.1/17 AND E.1/124 AND E.1/221 AND E.1/220 AND E.1/110	No		
	Text attribute – small font size	Rel-5	8.5			C158 AND C156 AND C177	C158 AND C156 AND C177	C158 AND C156 AND C177	C158 AND C156 AND C177	C158 AND C156 AND C177	C158 AND C156 AND C177	C158 AND C156 AND C177	C158 AND C156 AND C177	C158 AND C156 AND C177	C158 AND C156 AND C177	E.1/17 AND E.1/124 AND E.1/222 AND E.1/220 AND E.1/110	No		
	Text attribute – bold on	Rel-5	8.6			C160 AND C159 AND C177	C160 AND C159 AND C177	C160 AND C159 AND C177	C160 AND C159 AND C177	C160 AND C159 AND C177	C160 AND C159 AND C177	C160 AND C159 AND C177	C160 AND C159 AND C177	C160 AND C159 AND C177	C160 AND C159 AND C177	E.1/17 AND E.1/124 AND E.1/225 AND E.1/226 AND E.1/110	No		
	Text attribute – italic on	Rel-5	8.7			C161 AND C159 AND C177	C161 AND C159 AND C177	C161 AND C159 AND C177	C161 AND C159 AND C177	C161 AND C159 AND C177	C161 AND C159 AND C177	C161 AND C159 AND C177	C161 AND C159 AND C177	C161 AND C159 AND C177	C161 AND C159 AND C177	E.1/17 AND E.1/124 AND E.1/225 AND E.1/227 AND E.1/110	No		
	Text attribute – underlined on	Rel-5	8.8			C162 AND C159 AND C177	C162 AND C159 AND C177	C162 AND C159 AND C177	C162 AND C159 AND C177	C162 AND C159 AND C177	C162 AND C159 AND C177	C162 AND C159 AND C177	C162 AND C159 AND C177	C162 AND C159 AND C177	C162 AND C159 AND C177	E.1/17 AND E.1/124 AND E.1/225 AND E.1/228 AND E.1/110	No		
	Text attribute – strikethrough on	Rel-5	8.9			C163 AND C159 AND C177	C163 AND C159 AND C177	C163 AND C159 AND C177	C163 AND C159 AND C177	C163 AND C159 AND C177	C163 AND C159 AND C177	C163 AND C159 AND C177	C163 AND C159 AND C177	C163 AND C159 AND C177	C163 AND C159 AND C177	E.1/17 AND E.1/124 AND E.1/225 AND E.1/229 AND E.1/110	No		
	Text attribute – foreground and background colours	Rel-5	8.10			C164 AND C165 AND C177	C164 AND C165 AND C177	C164 AND C165 AND C177	C164 AND C165 AND C177	C164 AND C165 AND C177	C164 AND C165 AND C177	C164 AND C165 AND C177	C164 AND C165 AND C177	C164 AND C165 AND C177	C164 AND C165 AND C177	E.1/17 AND E.1/124 AND E.1/230 AND E.1/231 AND E.1/110	No		
	UCS2 display in Chinese	R99	9.1			C143 AND C177	C143 AND C177	C143 AND C177	C143 AND C177	C143 AND C177	C143 AND C177	C143 AND C177	C143 AND C177	C143 AND C177	C143 AND C177	E.1/17 AND E.1/15 AND E.1/110	No		
	UCS2 display in Katakana	R99	10.1			C145 AND C177	C145 AND C177	C145 AND C177	C145 AND C177	C145 AND C177	C145 AND C177	C145 AND C177	C145 AND C177	C145 AND C177	C145 AND C177	E.1/17 AND E.1/15 AND E.1/110	No		
	Frames	Rel-6	TBD													E.1/17 AND E.1/177 AND E.1/178 AND E.1/110	TBD		
5	GET INKEY 27.22.4.2																		
	prompt unpacked	R99	1.1	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/18 AND E.1/110 AND E.1/111	No		
	prompt packed	R99	1.2	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/18 AND E.1/110 AND E.1/111	No		
	Backwards move in UICC session	R99	1.3	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/18 AND E.1/110 AND E.1/111	No		
	Session terminated by user	R99	1.4	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/18 AND E.1/110 AND E.1/111	No		
	SMS alphabet	R99	1.5	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/18 AND E.1/110 AND E.1/111	No		
	Long text up to 160 bytes	R99	1.6	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/18 AND E.1/110 AND E.1/111	No		
	no response from user	R99	2.1	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	E.1/18 AND E.1/110 AND E.1/111	No		
	UCS2 display in Cyrillic	R99	3.1	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	E.1/18 AND E.1/15 AND E.1/110 AND E.1/111	No		
	UCS2 display, Long text up to 70 chars in Cyrillic	R99	3.2	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	E.1/18 AND E.1/15 AND E.1/110 AND E.1/111	No		
	UCS2 entry in Cyrillic	R99	4.1	C105 AND C177 AND C178	C105 AND C177 AND C178	C105 AND C177 AND C178	C105 AND C177 AND C178	C105 AND C177 AND C178	C105 AND C177 AND C178	C105 AND C177 AND C178	C105 AND C177 AND C178	C105 AND C177 AND C178	C105 AND C177 AND C178	C105 AND C177 AND C178	C105 AND C177 AND C178	E.1/18 AND E.1/14 AND E.1/110 AND E.1/111	No		
	"Yes/No" response	R99	5.1	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/18 AND E.1/60 AND E.1/110 AND E.1/111	No		
	Icons – basic icon	R99	6.1, 6.2	C108 AND C177 AND C178	C108 AND C177 AND C178	C108 AND C177 AND C178	C108 AND C177 AND C178	C108 AND C177 AND C178	C108 AND C177 AND C178	C108 AND C177 AND C178	C108 AND C177 AND C178	C108 AND C177 AND C178	C108 AND C177 AND C178	C108 AND C177 AND C178	C108 AND C177 AND C178	E.1/18 AND E.1/110 AND E.1/111	No		
	Icons – colour icon	R99	6.3, 6.4	C171 AND C177 AND C178	C171 AND C177 AND C178	C171 AND C177 AND C178	C171 AND C177 AND C178	C171 AND C177 AND C178	C171 AND C177 AND C178	C171 AND C177 AND C178	C171 AND C177 AND C178	C171 AND C177 AND C178	C171 AND C177 AND C178	C171 AND C177 AND C178	C171 AND C177 AND C178	E.1/18 AND E.1/110 AND E.1/111	No		
	Help information	R99	7.1	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	E.1/18 AND E.1/110 AND E.1/111	No		
	Variable Timeout	Rel-4	8.1		C126 AND C177 AND C178	C126 AND C177 AND C178	C126 AND C177 AND C178	C126 AND C177 AND C178	C126 AND C177 AND C178	C126 AND C177 AND C178	C126 AND C177 AND C178	C126 AND C177 AND C178	C126 AND C177 AND C178	C126 AND C177 AND C178	C126 AND C177 AND C178	E.1/18 AND E.1/140 AND E.1/110 AND E.1/111	No		
	Text attribute – left alignment	Rel-5	9.1			C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	E.1/18 AND E.1/124 AND E.1/217 AND E.1/110 AND E.1/111	No		
	Text attribute – center alignment	Rel-5	9.2			C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	E.1/18 AND E.1/124 AND E.1/218 AND E.1/110 AND E.1/111	No		
	Text attribute – right alignment	Rel-5	9.3			C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	E.1/18 AND E.1/124 AND E.1/219 AND E.1/110 AND E.1/111	No		
	Text attribute – large font size	Rel-5	9.4			C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	E.1/18 AND E.1/124 AND E.1/221 AND E.1/220 AND E.1/110 AND E.1/111	No		
	Text attribute – small font size	Rel-5	9.5			C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	E.1/18 AND E.1/124 AND E.1/222 AND E.1/220 AND E.1/110 AND E.1/111	No		
	Text attribute – bold on	Rel-5	9.6			C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	E.1/18 AND E.1/124 E.1/221 AND E.1/220 AND E.1/110 AND E.1/111	No		
	Text attribute – italic on	Rel-5	9.7			C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	E.1/18 AND E.1/124 E.1/225 AND E.1/227 AND E.1/110 AND E.1/111	No		
	Text attribute – underlined on	Rel-5	9.8			C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	E.1/18 AND E.1/124 E.1/225 AND E.1/228 AND E.1/110 AND E.1/111	No		
	Text attribute – strikethough on	Rel-5	9.9			C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	E.1/18 AND E.1/124 E.1/225 AND E.1/229 AND E.1/110 AND E.1/111	No		
	Text attribute – foreground and background colours	Rel-5	9.10			C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	E.1/18 AND E.1/124 AND E.1/230 AND E.1/231 AND E.1/110 AND E.1/111	No		
	UCS2 display in Chinese	R99	10.1			C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	E.1/18 AND E.1/15 AND E.1/110 AND E.1/111	No		
	UCS2 display in Chinese, Long text up to 70 chars	R99	10.2			C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	E.1/18 AND E.1/15 AND E.1/110 AND E.1/111	No		
	UCS2 entry in Chinese	R99	11.1			C142 AND C177 AND C178	C142 AND C177 AND C178	C142 AND C177 AND C178	C142 AND C177 AND C178	C142 AND C177 AND C178	C142 AND C177 AND C178	C142 AND C177 AND C178	C142 AND C177 AND C178	C142 AND C177 AND C178	C142 AND C177 AND C178	E.1/18 AND E.1/14 AND E.1/110 AND E.1/111	No		
	UCS2 display in Katakana	R99	12.1			C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	E.1/18 AND E.1/15 AND E.1/110 AND E.1/111	No		
	UCS2 display in Katakana, Long text up to 70 chars	R99	12.2			C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	E.1/18 AND E.1/15 AND E.1/110 AND E.1/111	No		
	UCS2 entry in Katakana	R99	13.1			C144 AND C177 AND C178	C144 AND C177 AND C178	C144 AND C177 AND C178	C144 AND C177 AND C178	C144 AND C177 AND C178	C144 AND C177 AND C178	C144 AND C177 AND C178	C144 AND C177 AND C178	C144 AND C177 AND C178	C144 AND C177 AND C178	E.1/18 AND E.1/14 AND E.1/110 AND E.1/111	No		
	Frames	Rel-6	TBD													E.1/18 AND E.1/177 AND E.1/178 AND E.1/110 AND E.1/111	TBD		
6	GET INPUT 27.22.4.3																		
	input unpacked	R99	1.1	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/19 AND E.1/110 AND E.1/111	No		
	input packed	R99	1.2	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/19 AND E.1/110 AND E.1/111	No		
	digits only	R99	1.1	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/19 AND E.1/110 AND E.1/111	No		
	SMS alphabet	R99	1.3	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/19 AND E.1/110 AND E.1/111	No		
	hidden input	R99	1.4	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/19 AND E.1/110 AND E.1/111	No		
	min / max acceptable length	R99	1.5, 1.9	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/19 AND E.1/110 AND E.1/111	No		
	Backwards move in UICC session	R99	1.6	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/19 AND E.1/110 AND E.1/111	No		
	Session terminated by user	R99	1.7	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/19 AND E.1/110 AND E.1/111	No		
	Prompt text up to 160 bytes	R99	1.8	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/19 AND E.1/110 AND E.1/111	No		
	SMS default alphabet, ME to echo text, packing not required	R99	1.9	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/19 AND E.1/110 AND E.1/111	No		
	Null length for the text string	R99	1.10	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/19 AND E.1/110 AND E.1/111	No		
	no response from user	R99	2.1	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	E.1/19 AND E.1/110 AND E.1/111	No		
	UCS2 display in Cyrillic	R99	3.1, 3.2	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	E.1/19 AND E.1/15 AND E.1/110 AND E.1/111	No		
	UCS2 entry in Cyrillic	R99	4.1, 4.2	C105 AND C177 AND C178	C105 AND C177 AND C178	C105 AND C177 AND C178	C105 AND C177 AND C178	C105 AND C177 AND C178	C105 AND C177 AND C178	C105 AND C177 AND C178	C105 AND C177 AND C178	C105 AND C177 AND C178	C105 AND C177 AND C178	C105 AND C177 AND C178	C105 AND C177 AND C178	E.1/19 AND E.1/14 AND E.1/110 AND E.1/111	No		
	default text for the input	R99	5.1, 5.2	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/19 AND E.1/110 AND E.1/111	No		
	Icons – basic icon	R99	6.1, 6.2	C108 AND C177 AND C178	C108 AND C177 AND C178	C108 AND C177 AND C178	C108 AND C177 AND C178	C108 AND C177 AND C178	C108 AND C177 AND C178	C108 AND C177 AND C178	C108 AND C177 AND C178	C108 AND C177 AND C178	C108 AND C177 AND C178	C108 AND C177 AND C178	C108 AND C177 AND C178	E.1/19 AND E.1/110 AND E.1/111	No		
	Icons – colour icon	R99	6.3, 6.4	C171 AND C177 AND C178	C171 AND C177 AND C178	C171 AND C177 AND C178	C171 AND C177 AND C178	C171 AND C177 AND C178	C171 AND C177 AND C178	C171 AND C177 AND C178	C171 AND C177 AND C178	C171 AND C177 AND C178	C171 AND C177 AND C178	C171 AND C177 AND C178	C171 AND C177 AND C178	E.1/19 AND E.1/110 AND E.1/111	No		
	help information	R99	7.1	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	E.1/19 AND E.1/110 AND E.1/111	No		
	Text attribute– left alignment	Rel-5	8.1			C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	E.1/19 AND E.1/124 AND E.1/217 AND E.1/110 AND E.1/111	No		
