Clause	Title	Release	Applicability	Additional Information
			Condition	Comments	Number of TC Executions	Release on other RAT	Branch
4.6.1.1	E-UTRAN FDD - cdma2000 1xRTT Cell re-selection: cdma2000 1x is of lower priority	Rel-8	C11	UE supporting E-UTRA FDD and cdma2000 1xRTT 			2Rx, 4Rx
4.6.2.1	E-UTRAN TDD-cdma2000 1X Cell Reselection: cdma2000 1X is of Lower Priority	Rel-9	C35	UE supporting E-UTRA TDD and cdma2000 1xRTT 			2Rx, 4Rx
E-UTRAN RRC_CONNECTED State Mobility	
5.1.1	E-UTRAN FDD - FDD Handover intra frequency case	Rel-8	C01	UE supporting E-UTRA FDD			2Rx, 4Rx
5.1.2	E-UTRAN TDD - TDD Handover intra frequency case	Rel-8	C02	UE supporting E-UTRA TDD			2Rx, 4Rx
5.1.3	E-UTRAN FDD - FDD Handover inter frequency case	Rel-8	C01d	UE supporting E-UTRA FDD and Feature Group Indicators 5, 13 and 25			2Rx, 4Rx
5.1.4	E-UTRAN TDD - TDD Handover inter frequency case	Rel-8	C02d	UE supporting E-UTRA TDD and Feature Group Indicators 5, 13 and 25			2Rx, 4Rx
5.1.5	E-UTRAN FDD - FDD inter frequency handover: unknown target cell	Rel-8	C01a	UE supporting E-UTRA FDD and Feature Group Indicators 13 and 25			2Rx, 4Rx
5.1.6	E-UTRAN TDD-TDD inter frequency handover: unknown target cell	Rel-8	C02a	UE supporting E-UTRA TDD and Feature Group Indicators 13 and 25			2Rx, 4Rx
5.1.7	E-UTRAN FDD - TDD handover inter frequency case	Rel-9	C21	UE supporting E-UTRA FDD and E-UTRA TDD and Feature Group Indicators 5, 25 and 30			2Rx, 4Rx
5.1.8	E-UTRAN TDD - FDD handover inter frequency case	Rel-9	C21	UE supporting E-UTRA FDD and E-UTRA TDD and Feature Group Indicators 5, 25 and 30			2Rx, 4Rx
5.1.9	E-UTRAN FDD-FDD Intra frequency handover for 5MHz bandwidth	Rel-8	C49	UE supporting E-UTRA FDD and only E-UTRA Band 31			
5.1.10	E-UTRAN FDD-FDD Handover intra frequency handover for UE category 0	Rel-12	C94	UE supporting E-UTRA FD-FDD and UE Category 0			
5.1.11	E-UTRAN HD-FDD Handover intra frequency handover for UE category 0	Rel-12	C110	UE supporting E-UTRA HD-FDD and UE Category 0			
5.1.12	E-UTRAN TDD-TDD Handover intra frequency handover for UE category 0	Rel-12	C93	UE supporting E-UTRA TDD and UE Category 0			
5.1.13	E-UTRAN FDD-FDD Intra frequency handover for Cat-M1 UEs in CEModeA	Rel-13	C94a	UE supporting E-UTRA FD-FDD and UE Category M1			
5.1.14	E-UTRAN HD-FDD Intra frequency handover for Cat-M1 UEs in CEModeA	Rel-13	C107a	UE supporting E-UTRA HD-FDD and UE Category M1			
5.1.15	E-UTRAN TDD Intra frequency handover for Cat-M1 UEs in CEModeA	Rel-13	C93a	UE supporting E-UTRA TDD and UE Category M1			
5.1.16	E-UTRAN FDD-FDD Intra frequency handover for Cat-M1 UEs in CEModeB	Rel-13	C94e	UE supporting E-UTRA FD-FDD and (UE Category M1 and CE Mode B)			
5.1.17	E-UTRAN HD-FDD Intra frequency handover for Cat-M1 UEs in CEModeB	Rel-13	C94f	UE supporting E-UTRA HD-FDD and (UE Category M1 and CE Mode B)			
5.1.18	E-UTRAN TDD Intra frequency handover for Cat-M1 UEs in CEModeB	Rel-13	C93e	UE supporting E-UTRA TDD and (UE Category M1 and CE Mode B)			
5.1.19	E-UTRAN FDD – FDD Intra frequency case for UE Category 1bis	Rel-13	C194	UE supporting E-UTRA FDD and UE Category 1bis			
5.1.20	E-UTRAN FDD – FDD Intra frequency case for UE Category 1bis	Rel-13	C195	UE supporting E-UTRA TDD and UE Category 1bis			
5.2.1	E-UTRAN FDD - UTRAN FDD handover	Rel-8	C04a	UE supporting E-UTRA FDD and UTRA FDD and Feature Group Indicators 8 and 22			2Rx, 4Rx
5.2.2	E-UTRAN TDD - UTRAN FDD handover	Rel-8	C07a	UE supporting E-UTRA TDD and UTRA FDD and Feature Group Indicators 8 and 22			2Rx, 4Rx
5.2.3	E-UTRAN FDD - GSM handover	Rel-8	C08e	UE supporting E-UTRA FDD and GSM and inter-RAT PS handover to GERAN and Feature Group Indicators 9, 15 and 23			2Rx, 4Rx
5.2.4	E-UTRAN TDD - UTRAN TDD handover	Rel-8	C05a	UE supporting E-UTRA TDD and UTRA TDD and Feature Group Indicators 8 and 22		Rel-9 UTRA TDD	2Rx, 4Rx
5.2.5	E-UTRAN FDD - UTRAN TDD handover	Rel-8	C06a	UE supporting E-UTRA FDD and UTRA TDD and Feature Group Indicators 8 and 22		Rel-9 UTRA TDD	2Rx, 4Rx
5.2.6	E-UTRA TDD - GSM handover	Rel-8	C09f	UE supporting E-UTRA TDD and GSM and inter-RAT PS handover to GERAN and Feature Group Indicators 9, 15 and 23			2Rx, 4Rx
5.2.7	E-UTRAN FDD - UTRAN FDD handover: unknown target cell	Rel-8	C04a	UE supporting E-UTRA FDD and UTRA FDD and Feature Group Indicators 8 and 22			2Rx, 4Rx
5.2.8	E-UTRAN FDD - GSM handover: unknown target cell	Rel-8	C08a	UE supporting E-UTRA FDD and GSM and inter-RAT PS handover to GERAN and inter-RAT PS handover to GERAN and Feature Group Indicators 9 and 23			2Rx, 4Rx
5.2.9	E-UTRAN TDD - GSM handover: unknown target cell	Rel-8	C09b	UE supporting E-UTRA TDD and GSM and Feature Group Indicators 9 and 23			2Rx, 4Rx
5.2.10	E-UTRAN TDD - UTRAN TDD handover: unknown target cell	Rel-8	C05a	UE supporting E-UTRA FDD and UTRA TDD and Feature Group Indicators 8 and 22		Rel-9 UTRA TDD	2Rx, 4Rx
5.2.11	E-UTRAN FDD - UTRAN FDD handover for 5MHz Bandwidth	Rel-8	C54	UE supporting E-UTRA FDD and only E-UTRA Band 31 and UTRA FDD and Feature Group Indicators 8 and 22			
5.3.1	E-UTRAN FDD - HRPD Handover	Rel-8	C10a	UE supporting E-UTRA FDD and cdma2000 HRPD and Feature Group Indicators 12 and 26			2Rx, 4Rx
5.3.2	E-UTRAN FDD - cdma2000 1xRTT handover	Rel-8	C11a	UE supporting E-UTRA FDD and cdma2000 1xRTT and Feature Group Indicators 11 and 24			2Rx, 4Rx
5.3.3	E-UTRAN FDD - HRPD handover: unknown target cell	Rel-8	C10a	UE supporting E-UTRA FDD and cdma2000 HRPD and Feature Group Indicators 12 and 26			2Rx, 4Rx
5.3.4	E-UTRAN FDD - cdma2000 1xRTT handover: unknown target cell	Rel-8	C11a	UE supporting E-UTRA FDD and cdma2000 1xRTT and Feature Group Indicators 11 and 24			2Rx, 4Rx
5.3.5	E-UTRAN TDD-HRPD Handover	Rel-9	C36	UE supporting E-UTRA TDD and cdma2000 HRPD and Feature Group Indicators 12 and 26.			2Rx, 4Rx
5.3.6	E-UTRAN TDD-cdma2000 1X Handover	Rel-9	C37	UE supporting E-UTRA TDD and cdma2000 1xRTT and Feature Group Indicators 11 and 24.			2Rx, 4Rx
RRC Connection Mobility Control	
6.1.1	E-UTRAN FDD Intra-frequency RRC Re-establishment	Rel-8	C01	UE supporting E-UTRA FDD			2Rx, 4Rx
6.1.2	E-UTRAN FDD Inter-frequency RRC Re-establishment	Rel-8	C01b	UE supporting E-UTRA FDD and Feature Group Indicator 25			2Rx, 4Rx
6.1.3	E-UTRAN TDD Intra-frequency RRC Re-establishment	Rel-8	C02	UE supporting E-UTRA TDD			2Rx, 4Rx
6.1.4	E-UTRAN TDD Inter-frequency RRC Re-establishment	Rel-8	C02b	UE supporting E-UTRA TDD and Feature Group Indicator 25			2Rx, 4Rx
6.1.5	E-UTRAN FDD Intra-frequency RRC Re-establishment for 5MHz Bandwidth	Rel-8	C49	UE supporting E-UTRA FDD and only E-UTRA Band 31			
6.1.6	E-UTRAN FD-FDD Intra-frequency RRC Re-establishment for UE category 0	Rel-12	C94	UE supporting E-UTRA FD-FDD and UE Category 0			
6.1.7	E-UTRAN HD-FDD Intra-frequency RRC Re-establishment for UE category 0	Rel-12	C107	UE supporting E-UTRA HD-FDD and UE Category 0			
6.1.8	E-UTRAN TDD Intra-frequency RRC Re-establishment for UE category 0	Rel-12	C93	UE supporting E-UTRA TDD and UE Category 0			
6.1.9	E-UTRAN FD-FDD Intra-frequency RRC Re-establishment for Cat-M1 UE in CEModeA	Rel-13	C94a	UE supporting E-UTRA FD-FDD and UE Category M1			
6.1.10	E-UTRAN HD-FDD Intra-frequency RRC Re-establishment for Cat-M1 UE in CEModeA	Rel-13	C107a	UE supporting E-UTRA HD-FDD and UE Category M1			
6.1.11	E-UTRAN TDD Intra-frequency RRC Re-establishment for Cat-M1 UE in CEModeA	Rel-13	C93a	UE supporting E-UTRA TDD and UE Category M1			
6.1.15	HD-FDD Intra-frequency RRC Re-establishment for category NB1 UE in In-Band mode under normal coverage	Rel-13	C162	UE supporting category NB1 and User plane CIoT			
6.1.16	HD-FDD Inter-frequency RRC Re-establishment for category NB1 UE in In-Band mode under Enhanced Coverage	Rel-13	C162	UE supporting category NB1 and User plane CIoT			
6.2.1	E-UTRAN FDD - Contention Based Random Access Test	Rel-8	C01	UE supporting E-UTRA FDD			2Rx, 4Rx
6.2.2	E-UTRAN FDD - Non-Contention Based Random Access Test	Rel-8	C01	UE supporting E-UTRA FDD			2Rx, 4Rx
6.2.3	E-UTRAN TDD - Contention Based Random Access Test	Rel-8	C02	UE supporting E-UTRA TDD			2Rx, 4Rx
6.2.4	E-UTRAN TDD - Non-Contention Based Random Access Test	Rel-8	C02	UE supporting E-UTRA TDD			2Rx, 4Rx
6.2.5	E-UTRAN FDD - Contention Based Random Access Test for 5MHz Bandwidth	Rel-8	C49	UE supporting E-UTRA FDD and only E-UTRA Band 31			2Rx, 4Rx
6.2.6	E-UTRAN FDD - Non-Contention Based Random Access Test for 5MHz Bandwidth	Rel-8	C49	UE supporting E-UTRA FDD and only E-UTRA Band 31			2Rx, 4Rx
6.2.7	E-UTRAN FDD - Non-Contention Based Random Access Test For SCell in sTAG	Rel-12	C61	UE supporting E-UTRA FDD and Uplink Carrier Aggregation and multiple timing advances			2Rx, 4Rx
6.2.8	E-UTRAN TDD - Non-Contention Based Random Access Test For SCell in sTAG	Rel-12	C62	UE supporting E-UTRA TDD and Uplink Carrier Aggregation and multiple timing advances			2Rx, 4Rx
6.2.10	E-UTRAN FDD Contention Based Random Access Test for Cat-M1 UEs in Normal Coverage	Rel-13	C94a	UE supporting E-UTRA FD-FDD and UE Category M1			
6.2.11	E-UTRAN HD-FDD Contention Based Random Access Test for Cat-M1 UEs in Normal Coverage	Rel-13	C107a	UE supporting E-UTRA HD-FDD and UE Category M1			
6.2.12	E-UTRAN TDD Contention Based Random Access Test for Cat-M1 UEs in Normal Coverage	Rel-13	C93a	UE supporting E-UTRA TDD and UE category M1			
6.2.13	E-UTRAN FDD - Contention Based Random Access Test for Cat-M1 UEs in Enhanced Coverage	Rel-13	C94e	U supporting E-UTRA FD-FDD and( UE Category M1 and CE Mode B)			
6.2.14	E-UTRAN HD-FDD - Contention Based Random Access Test for Cat-M1 UEs in Enhanced Coverage	Rel-13	C94f	UE supporting E-UTRA HD-FDD and( UE Category M1 and CE Mode B)			
6.2.15	E-UTRAN TDD - Contention Based Random Access Test for Cat-M1 UEs in Enhanced Coverage	Rel-13	C93e	UE supporting E-UTRA TDD and( UE Category M1 and CE Mode B)			
6.2.16	Contention Based Random Access Test for UE category NB1 UEs In-band mode in normal coverage	Rel-13	C154	UE supporting category NB1			
6.2.17	Contention Based Random Access Test for UE category NB1 UEs In-band mode in Enhanced Coverage	Rel-13	C154	UE supporting category NB1			
6.3.1	Redirection from E-UTRAN FDD to UTRAN FDD	Rel-9	C04	UE supporting E-UTRA FDD and UTRA FDD			2Rx, 4Rx
6.3.2	Redirection from E-UTRAN TDD to UTRAN FDD	Rel-9	C07	UE supporting E-UTRA TDD and UTRA FDD			2Rx, 4Rx
6.3.3	Redirection from E-UTRAN FDD to GERAN when System Information is provided	Rel-9	C27	UE supporting E-UTRA FDD and GERAN			2Rx, 4Rx
6.3.4	Redirection from E-UTRAN TDD to GERAN when System Information is provided	Rel-9	C28	UE supporting E-UTRA TDD and GERAN			2Rx, 4Rx
6.3.5	E-UTRA TDD RRC connection release redirection to UTRA TDD	Rel-9	C26	UE supporting E-UTRA TDD and UTRA TDD			2Rx, 4Rx
6.3.6	E-UTRA FDD RRC connection release redirection to UTRA TDD	Rel-9	C25	UE supporting E-UTRA FDD and UTRA TDD			2Rx, 4Rx
6.3.7	E-UTRA TDD RRC connection release redirection to UTRA TDD without SI provided	Rel-9	C26	UE supporting E-UTRA TDD and UTRA TDD			2Rx, 4Rx
6.3.8	E-UTRA FDD RRC connection release redirection to UTRA TDD without SI provided	Rel-9	C25	UE supporting E-UTRA FDD and UTRA TDD			2Rx, 4Rx
6.3.9	Redirection from E-UTRAN FDD to UTRAN FDD without System Information	Rel-9	C04	UE supporting E-UTRA FDD and UTRA FDD			2Rx, 4Rx
6.3.10	Redirection from E-UTRAN FDD to GERAN when System Information is not provided	Rel-9	C27	UE supporting E-UTRA FDD and GERAN			2Rx, 4Rx
6.3.11	Redirection from E-UTRAN TDD to GERAN when System Information is not provided	Rel-9	C28	UE supporting E-UTRA TDD and GERAN			2Rx, 4Rx
6.3.12	E-UTRAN TDD RRC connection release redirection to UTRAN FDD without SI provided	Rel-9	C07	UE supporting E-UTRA TDD and UTRA FDD			2Rx, 4Rx
Timing and Signalling Characteristics	
7.1.1	E-UTRAN FDD - UE Transmit Timing Accuracy	Rel-8	C01c	UE supporting E-UTRA FDD and Feature Group Indicator 5			2Rx, 4Rx
7.1.1_1	E-UTRAN FDD - UE Transmit Timing Accuracy (Non DRx UE)	Rel-8 only	C23	UE supporting E-UTRA FDD but not supporting Feature Group Indicator 5			
7.1.2	E-UTRAN TDD - UE Transmit Timing Accuracy	Rel-8	C02c	UE supporting E-UTRA TDD and Feature Group Indicator 5			2Rx, 4Rx
7.1.2_1	E-UTRAN TDD - UE Transmit Timing Accuracy (Non DRx UE)	Rel-8 only	C24	UE supporting E-UTRA TDD but not supporting Feature Group Indicator 5			
7.1.3	E-UTRAN FDD - UE Transmit Timing Accuracy Tests for SCell	Rel-11	C57	UE supporting E-UTRA FDD and Uplink Carrier Aggregation and Feature Group Indicator 5			
7.1.3_1	E-UTRAN FDD - UE Transmit Timing Accuracy Tests for SCell (Release 12 and forward)	Rel-12	C57	UE supporting E-UTRA FDD and Uplink Carrier Aggregation and Feature Group Indicator 5			
7.1.4	E-UTRAN TDD - UE Transmit Timing Accuracy Tests for SCell	Rel-11	C58	UE supporting E-UTRA TDD and Uplink Carrier Aggregation and Feature Group Indicator 5	Either TC 7.1.4 or TC 7.1.4A shall be executed. (Note 1)		
7.1.4A	E-UTRAN TDD - UE Transmit Timing Accuracy Tests for SCell for 20 MHz +10 MHz bandwidth	Rel-11	C58a	UE supporting E-UTRA TDD and Uplink Carrier Aggregation and Feature Group Indicator 5	Either TC 7.1.4 or TC 7.1.4A shall be executed. (Note 1)		
7.1.4_1	E-UTRAN TDD - UE Transmit Timing Accuracy Tests for SCell (Release 12 and forward)	Rel-12	C58	UE supporting E-UTRA TDD and Uplink Carrier Aggregation and Feature Group Indicator 5			
7.1.5	E-UTRAN FDD - UE Transmit Timing Accuracy Tests for 5MHz Bandwidth	Rel-8	C56	UE supporting E-UTRA FDD and only E-UTRA Band 31 and Feature Group Indicator 5			
7.1.6	E-UTRAN FDD - UE Transmit Timing Accuracy Tests for SCell in sTAG	Rel-11	C63	UE supporting E-UTRA FDD and Uplink Carrier Aggregation and multiple timing advances and Feature Group Indicator 5			
7.1.7	E-UTRAN TDD - UE Transmit Timing Accuracy Tests for SCell in sTAG	Rel-11	C64	UE supporting E-UTRA TDD and Uplink Carrier Aggregation and multiple timing advance and Feature Group Indicator 5	Either TC 7.1.7 or TC 7.1.7A or TC 7.1.7B shall be executed. (Note 1)		
7.1.7A	E-UTRAN TDD - UE Transmit Timing Accuracy Tests for SCell in sTAG for 20MHz +20MHz bandwidth	Rel-11	C64a	UE supporting E-UTRA TDD and Uplink Carrier Aggregation and multiple timing advance and Feature Group Indicator 5	Either TC 7.1.7 or TC 7.1.7A or TC 7.1.7B shall be executed. (Note 1)		
7.1.7B	E-UTRAN TDD - UE Transmit Timing Accuracy Tests for SCell in sTAG for 20MHz +10MHz bandwidth	Rel-11	C64b	UE supporting E-UTRA TDD and Uplink Carrier Aggregation and multiple timing advance and Feature Group Indicator 5	Either TC 7.1.7 or TC 7.1.7A or TC 7.1.7B shall be executed. (Note 1)		
7.1.10	E-UTRAN FDD - UE Transmit Timing Accuracy Tests for Cat-M1 UE in CEModeA	Rel-13	C94b	UE supporting E-UTRA FD-FDD and UE Category M1 and Feature Group Indicator 5			
7.1.11	E-UTRAN HD-FDD - UE Transmit Timing Accuracy Tests for Cat-M1 UE in CEModeA	Rel-13	C107c	UE supporting E-UTRA HD-FDD and UE Category M1 and Feature Group Indicator 5			
7.1.12	E-UTRAN TDD – UE Transmit Timing Accuracy Tests for Cat-M1 UE in CEModeA	Rel-13	C93c	UE supporting E-UTRA TDD and UE Category M1 and Feature Group Indicator 5			
7.1.14	E-UTRAN FDD – UE Transmit Timing Accuracy Tests for Cat-M1 UE in CEModeB	Rel-13	C94h	UE supporting E-UTRA FD-FDD and (UE category M1 and CE Mode B) and Feature Group Indicator 5			
7.1.15	E-UTRAN HD-FDD – UE Transmit Timing Accuracy Tests for Cat-M1 UE in CEModeB	Rel-13	C94i	UE supporting E-UTRA HD-FDD and (UE category M1 and CE Mode B) and Feature Group Indicator 5			
7.1.16	E-UTRAN TDD – UE Transmit Timing Accuracy Tests for Cat-M1 UE in CEModeB	Rel-13	C93k	UE supporting E-UTRA TDD and (UE category M1 and CE Mode B) and Feature Group Indicator 5			
7.1.17	HD-FDD Transmit Timing Accuracy Test for Category NB1 UE In-Band mode under Normal Coverage	Rel-13	C154	UE supporting category NB1			
7.1.18	HD-FDD Transmit Timing Accuracy Test for Category NB1 UE In-band mode under Enhanced Coverage	Rel-13	C155	UE supporting category NB1 and Feature Group Indicators 5			
7.2.1	E-UTRAN FDD - UE Timing Advance Adjustment Accuracy	Rel-8	C01	UE supporting E-UTRA FDD			2Rx, 4Rx
7.2.2	E-UTRAN TDD - UE Timing Advance Adjustment Accuracy	Rel-8	C02	UE supporting E-UTRA TDD			2Rx, 4Rx
7.2.3	E-UTRAN FDD - UE Timing Advance Adjustment Accuracy Test for 5MHz Bandwidth	Rel-8	C49	UE supporting E-UTRA FDD and only E-UTRA Band 31			
7.2.4	E-UTRAN FDD - UE Timing Advance Adjustment Accuracy Test For SCell in sTAG	Rel-12	C61	UE supporting E-UTRA FDD and Uplink Carrier Aggregation and multiple timing advances			
7.2.5	E-UTRAN TDD - UE Timing Advance Adjustment Accuracy Test For SCell in sTAG	Rel-11	C62	UE supporting E-UTRA TDD and Uplink Carrier Aggregation and multiple timing advances	Either TC 7.2.5 or TC 7.2.5A or TC 7.2.5B shall be executed. (Note 1)		
7.2.5A	E-UTRAN TDD - UE Timing Advance Adjustment Accuracy Test for SCell in sTAG for 20MHz +20MHz bandwidth	Rel-11	C62a	UE supporting E-UTRA TDD and Uplink Carrier Aggregation and multiple timing advances	Either TC 7.2.5 or TC 7.2.5A or TC 7.2.5B shall be executed. (Note 1)		
7.2.5B	E-UTRAN TDD - UE Timing Advance Adjustment Accuracy Test for SCell in sTAG for 20MHz +10MHz bandwidth	Rel-11	C62b	UE supporting E-UTRA TDD and Uplink Carrier Aggregation and multiple timing advances	Either TC 7.2.5 or TC 7.2.5A or TC 7.2.5B shall be executed. (Note 1)		
7.2.6	E-UTRAN FDD Timing Advance Adjustment Accuracy Test for Cat-M1 UE in CEModeA	Rel-13	C94a	UE supporting E-UTRA FD-FDD and UE Category M1			
7.2.7	E-UTRAN HD-FDD UE Timing Advance Adjustment Accuracy Test for Cat-M1 UE in CEModeA	Rel-13	C107a	UE supporting E-UTRA HD-FDD and UE Category M1			
7.2.8	E-UTRAN TDD Timing Advance Adjustment Accuracy Test for Cat-M1 UE in CEModeA	Rel-13	C93a	UE supporting E-UTRA TDD and UE Category M1			
7.2.9	HD-FDD UE Timing Advance Adjustment Accuracy Test for Category NB1 UE in Standalone Mode under Enhance Coverage	Rel-13	C154	UE supporting category NB1			
7.2.10	E-UTRAN FDD UE Timing Advance Adjustment Accuracy Test in CEModeB	Rel-13	C94e	U supporting E-UTRA FD-FDD and (UE Category M1 and CE Mode B)			
7.2.11	E-UTRAN HD-FDD UE Timing Advance Adjustment Accuracy Test in CEModeB	Rel-13	C94f	UE supporting E-UTRA HD-FDD and (UE Category M1 and CE Mode B)			
7.2.12	E-UTRAN TDD UE Timing Advance Adjustment Accuracy Test in CEModeB	Rel-13	C93e	UE supporting E-UTRA TDD and (UE Category M1 and CE Mode B)			
7.3.1	E-UTRAN FDD Radio Link Monitoring Test for Out-of-Sync	Rel-8	C01i	UE supporting E-UTRA FDD but not 4Rx antenna ports on all supported FDD operating bands			
7.3.1_1	E-UTRAN FDD Radio Link Monitoring Test for Out-of-sync with 4 Rx antenna ports	Rel-10	C140	UE supporting E-UTRA FDD and 4Rx antenna ports on all supported FDD operating bands			
7.3.2	E-UTRAN FDD Radio Link Monitoring Test for In-Sync	Rel-8	C01i	UE supporting E-UTRA FDD but not 4Rx antenna ports on all supported FDD operating bands			
7.3.2_1	E-UTRAN FDD Radio Link Monitoring Test for In-Sync with 4 Rx antenna ports	Rel-10	C140	UE supporting E-UTRA FDD and 4Rx antenna ports on all supported FDD operating bands			
7.3.3	E-UTRAN TDD Radio Link Monitoring Test for Out-of-Sync	Rel-8	C02a	UE supporting E-UTRA TDD but not 4Rx antenna ports on all supported TDD operating bands			
7.3.3_1	E-UTRAN TDD Radio Link Monitoring Test for Out-of-sync with 4 Rx antenna ports	Rel-10	C143	UE supporting E-UTRA TDD and 4Rx antenna ports on all supported TDD operating bands			
