c	Title	Release	Applicability	Applicability Limitations	Status	Specific PICS Statements	Supported	
13.2a	Frequency error under multipath and interference conditions in VAMOS configuration	Rel-9	MS supporting VAMOS Type 1, VAMOS Type 2 or VAMOS Type 3		C528	 TSPC_VAMOS_Type1  TSPC_VAMOS_Type2 TSPC_VAMOS_Type3		
13.2b	Frequency error under multipath and interference conditions in TIGHTER configuration \\ with legacy TSC in VAMOS mode	Rel-10	MS supporting Tighter and not VAMOS Type 1, VAMOS Type 2 or VAMOS Type 3		C561			
13.3.4.1	Transmitter output power and burst timing - MS with permanent- or temporary antenna connector	Phase 2	All MS with a permanent- or temporary antenna connector	R2	C413	TSPC_RACH_Power_Reduction		
13.3.4.2	Transmitter output power and burst timing - MS with integral antenna	Phase 2	All MS with integral antenna	R2	C92			
13.4	Output RF spectrum	Phase 2	All MS not supporting R-GSM		C102			
13.6	Frequency error and phase error in HSCSD multislot configuration	R96	HSCSD Multislot MS	R3, L6	C380			
13.7-1	Transmitter output power and burst timing in HSCSD configurations - MS with permanent- or temporary antenna connector	R96	HSCSD Multislot MS with permanent- or temporary antenna connector	R4	C377			
13.7-2	Transmitter output power and burst timing in HSCSD configurations - MS with integral antenna	R96	HSCSD Multislot MS with integral antenna	R4	C378			
13.8	Output RF spectrum in HSCSD multislot configuration	R96	HSCSD Multislot MS	R4	C376			
13.9	Output RF spectrum for MS supporting the R-GSM or ER-GSM band	R96	R-GSM MS		C103			
13.10	Void							
13.11	Void							
13.12	Void							
13.13	Void							
13.14	Void							
13.15	Void							
13.16.1	Frequency error and phase error in GPRS multislot configuration	R97	GPRS MS supporting multislot operation on the uplink	L6	C204			
13.16.2.4.1	Transmitter output power in GPRS multislot configuration - MS with permanent- or temporary antenna connector	R97	GPRS MS supporting multislot operation on the uplink - MS with permanent- or temporary antenna connector		C95	TSPC_AddInfo_Red_IntSlotRange_Mult_Conf TSPC_RACH_Power_Reduction		
13.16.2.4.2	Transmitter output power in GPRS multislot configuration - MS with integral antenna	R97	GPRS MS supporting multislot operation on the uplink - MS with integral antenna		C96	TSPC_AddInfo_Red_IntSlotRange_Mult_Conf		
13.16.3	Output RF spectrum in GPRS multislot configuration 	R97	GPRS MS supporting multislot operation on the uplink 		C204			
13.17.1	Frequency error and Modulation accuracy 	R99	EGPRS MS capable of 8PSK in Uplink, of all Multislot classes		C238			
13.17.1a	Frequency error and Modulation accuracy in EGPRS2A Configuration	Rel-7	All EGPRS2 A MS		C487			
13.17.1b	Frequency error and Modulation accuracy in EC-GSM-IoT Configuration	Rel-13	MS supporting EC-GSM-IoT		C614			
13.17.2	Frequency error under multipath and interference conditions	R99	All EGPRS MS		C216			
13.17.2a	Frequency error under multipath and interference conditions for EGPRS2A configuration	Rel-7	All EGPRS2 A MS		C487			
13.17.3.4.1	EGPRS Transmitter output power- MS with permanent- or temporary antenna connector	R99	EGPRS MS capable of 8PSK in Uplink, of all Multislot classes with permanent- or temporary antenna connector		C97	TSPC_AddInfo_Red_IntSlotRange_Mult_Conf		
13.17.3.4.2	EGPRS Transmitter output power- MS with integral antenna	R99	EGPRS MS capable of 8PSK in Uplink, of all Multislot classes with integral antenna		C98	TSPC_AddInfo_Red_IntSlotRange_Mult_Conf		
13.17.3a.4.1	EGPRS2A Transmitter output power- MS with permanent- or temporary antenna connector	Rel-7	EGPRS2A MS capable of 16-QAM in Uplink, of all Multislot classes with permanent- or temporary antenna connector		C492	TSPC_AddInfo_Red_IntSlotRange_Mult_Conf		
13.17.3a.4.2	EGPRS2A Transmitter output power- MS with integral antenna	Rel-7	EGPRS2A MS capable of 16-QAM in Uplink, of all Multislot classes with integral antenna		C493	TSPC_AddInfo_Red_IntSlotRange_Mult_Conf		
13.17.3b	Transmitter output power in for EC-GSM-IoT configuration	Rel-13	MS supporting EC-GSM-IoT		C614			
13.17.4	Output RF spectrum	R99	EGPRS MS capable of 8PSK in Uplink, of all Multislot classes		C238			
13.17.4a	Output RF spectrum in EGPRS2A configuration	Rel-7	EGPRS MS capable of 16QAM in Uplink, of all Multislot classes		C505			
14.1.1.1	Bad frame indication - TCH/FS - Random RF input	Phase 2	MS supporting full rate speech	R12	C24			
14.1.1.2	Bad frame indication - TCH/FS - Frequency hopping and downlink DTX	Phase 2	MS supporting full rate speech	R12	C24			
14.1.2.1	Bad frame indication - TCH/HS - Random RF input	Phase 2	MS supporting half-rate speech	R11	C13			
14.1.2.2	Bad frame indication - TCH/HS - Frequency hopping and downlink DTX	Phase 2	MS supporting half-rate speech		C13			
14.1.3	Void							
14.1.4	Void							
14.1.5.1	Bad frame indication - TCH/AFS - Random RF input	R98 AND AMR Loops	MS supporting AMR and AMR Test-Loops		C321			
14.1.6.1	Bad frame indication - TCH/AHS - Random RF input	R98 AND AMR Loops	MS supporting AMR Half Rate and AMR Test-Loops	R9	C333			
14.2.1	Reference sensitivity - TCH/FS	Phase 2	MS supporting full rate speech (NOTE 2)	R13	C24			
14.2.1a	Reference sensitivity - TCH/FS in TIGHTER configuration	Rel-10	MS supporting TIGHTER for speech and signalling channels		C554			
14.2.2	Reference sensitivity - TCH/HS (Speech frames)	Phase 2	MS supporting half-rate speech (NOTE 2)	R13	C13			
14.2.2a	Reference sensitivity - TCH/HS in TIGHTER configuration	Rel-10	MS supporting TIGHTER for speech and signalling channels		C554			
14.2.3	Reference sensitivity - FACCH/F	Phase 2	All MS (NOTE 2)	R13	A			
14.2.3a	Reference sensitivity - FACCH/F in TIGHTER configuration	Rel-10	MS supporting TIGHTER for speech and signalling channels		C554			
14.2.4	Reference sensitivity - FACCH/H	Phase 2	MS supporting half rate service (NOTE 2)	R13	C2			
14.2.4a	Reference sensitivity - FACCH/H in TIGHTER configuration	Rel-10	MS supporting TIGHTER for speech and signalling channels		C554			
14.2.5	Reference sensitivity - full rate data channels	Phase 2	MS supporting data	R5	C372			
14.2.6	Reference sensitivity - half rate data channels	Phase 2	MS supporting half-rate data		C12			
14.2.7	Reference sensitivity - TCH/EFS	Phase 2	MS supporting EFR speech (NOTE 2)	R13	C83			
14.2.7a	Reference sensitivity - TCH/EFS in TIGHTER configuration	Rel-10	MS supporting TIGHTER for speech and signalling channels		C554			
14.2.8	Reference sensitivity - full rate data channels in multislot configuration	R98	HSCSD Multislot MS		C86			
14.2.9	Reference sensitivity - TCH/FS for MS supporting the R-GSM or ER-GSM band	R98	R-GSM MS supporting full rate speech		C116			
14.2.10	Reference Sensitivity – TCH/AFS	R98 AND AMR Loops	MS supporting AMR and AMR Test-Loops (NOTE 2)	R13	C321			
14.2.10a	Reference sensitivity - TCH/AFS in TIGHTER configuration	Rel-10	MS supporting TIGHTER for speech and signalling channels		C554			
14.2.18	Reference Sensitivity – TCH/AHS	R98 AND AMR Loops	MS supporting AMR Half Rate and AMR Test-Loops (NOTE 2)	R13	C333			
14.2.18a	Reference sensitivity - TCH/AHS in TIGHTER configuration	Rel-10	MS supporting TIGHTER for speech and signalling channels		C554			
14.2.19	Reference Sensitivity – TCH/AFS-INB	R98 AND AMR Loops	MS supporting AMR and AMR Test-Loops	R10	C321			
14.2.20	Reference Sensitivity – TCH/AHS-INB	R98 AND AMR Loops	MS supporting AMR Half Rate and AMR Test-Loops		C333			
14.2.21	Reference Sensitivity – O-TCH/AHS	Rel-5	MS supporting O-TCH/AHS		C358			
14.2.22	Reference Sensitivity – O-TCH/WFS	Rel-5	MS supporting O-TCH/WFS		C366			
14.2.23	Reference sensitivity – O-TCH/WHS	Rel-5	MS supporting O-TCH/WHS		C383			
14.2.24	Reference Sensitivity – TCH/WFS	Rel-5	MS supporting TCH/WFS (NOTE 2)	R13	C387			
14.2.24a	Reference sensitivity - TCH/WFS in TIGHTER configuration	Rel-10	MS supporting TIGHTER for speech and signalling channels		C554			
14.2.25	Reference Sensitivity – Repeated FACCH/F	Rel-6	MS supporting Repeated FACCH		C466			
14.2.26	Reference Sensitivity – Repeated SACCH	Rel-6	MS supporting Repeated SACCH		C414			
14.2.27	Reference Sensitivity – TCH/FS – DARP Phase II	Rel-7	MS supporting full rate speech and DARP phase II		C451			
14.2.28	Reference sensitivity TCH/HS in VAMOS configuration	Rel-9	MS supporting TCH/HS and VAMOS Type 1, VAMOS Type 2 or VAMOS Type 3		C528-1	TSPC_VAMOS_Type1 TSPC_VAMOS_Type2 TSPC_VAMOS_Type3		
14.2.29	Reference sensitivity TCH/EFS in VAMOS configuration	Rel-9	MS supporting TCH/EFS and VAMOS Type 1, VAMOS Type 2 or VAMOS Type 3		C528-2	TSPC_VAMOS_Type1 TSPC_VAMOS_Type2 TSPC_VAMOS_Type3		
14.2.30	Reference sensitivity TCH/AFS in VAMOS configuration	Rel-9	MS supporting TCH/AFS and VAMOS Type 1, VAMOS Type 2 or VAMOS Type 3		C528-3	TSPC_VAMOS_Type1 TSPC_VAMOS_Type2 TSPC_VAMOS_Type3		
14.2.31	Reference sensitivity TCH AHS in VAMOS configuration	Rel-9	MS supporting AMR Half Rate andVAMOS Type 1, VAMOS Type 2 or VAMOS Type 3		C528-4	 TSPC_VAMOS_Type1  TSPC_VAMOS_Type2 TSPC_VAMOS_Type3		
14.2.32	Reference sensitivity TCH WFS in VAMOS configuration	Rel-9	MS supporting TCH WFS and VAMOS Type 1, VAMOS Type 2 or VAMOS Type 3		C528-5	 TSPC_VAMOS_Type1  TSPC_VAMOS_Type2 TSPC_VAMOS_Type3		
14.2.33	Reference sensitivity FACCH/F performance in VAMOS configuration	Rel-9	MS supporting VAMOS Type 1, VAMOS Type 2 or VAMOS Type 3		C528	 TSPC_VAMOS_Type1  TSPC_VAMOS_Type2 TSPC_VAMOS_Type3		
14.2.34	Reference sensitivity FACCH/H performance in VAMOS configuration	Rel-9	MS supporting VAMOS Type 1, VAMOS Type 2 or VAMOS Type 3		C528-6	 TSPC_VAMOS_Type1  TSPC_VAMOS_Type2  TSPC_VAMOS_Type3		
14.2.35	Reference sensitivity SACCH performance in VAMOS configuration	Rel-9	MS supportingVAMOS Type 1, VAMOS Type 2 or VAMOS Type 3		C528	 TSPC_VAMOS_Type1  TSPC_VAMOS_Type2 TSPC_VAMOS_Type3		
14.2.36	Reference sensitivity Repeated SACCH in VAMOS configuration	Rel-9	MS supporting Repeated SACCH and VAMOS Type 1, VAMOS Type 2 or VAMOS Type 3 		C528-7	 TSPC_VAMOS_Type1  TSPC_VAMOS_Type2 TSPC_VAMOS_Type3		
14.2.37	Reference sensitivity Repeated FACCH/F in VAMOS configuration	Rel-9	MS supporting Repeated FACCH and VAMOS Type 1, VAMOS Type 2 or VAMOS Type 3 		C528-8	 TSPC_VAMOS_Type1  TSPC_VAMOS_Type2 TSPC_VAMOS_Type3		
14.3	Usable receiver input level range	Phase 2	MS supporting full rate speech		C24			
14.4.1	Co-channel rejection - TCH/FS	Phase 2	MS supporting full rate speech (NOTE 2)	R9, R13, L3	C24	TSPC_DARP_Phase1 TSPC_DARP_Phase2		
14.4.1a	Co-channel rejection - TCH/FS in TIGHTER configuration	Rel-10	MS supporting TIGHTER for speech and signalling channels		C554			
14.4.2	Co-channel rejection - TCH/HS	Phase 2	MS supporting half-rate speech (NOTE 2)	R13	C13			
14.4.2a	Co-channel rejection - TCH/HS in TIGHTER configuration	Rel-10	MS supporting TIGHTER for speech and signalling channels		C554			
14.4.3	Void							
14.4.4	Co-channel rejection - FACCH/F	Phase 2	All MS (NOTE 2)	R13	A			
14.4.4a	Co-channel rejection - FACCH/F in TIGHTER configuration	Rel-10	MS supporting TIGHTER for speech and signalling channels		C554			
14.4.5	Co-channel rejection - FACCH/H	Phase 2	MS supporting half rate service (NOTE 2)	R13	C2			
14.4.5a	Co-channel rejection - FACCH/H in TIGHTER configuration	Rel-10	MS supporting TIGHTER for speech and signalling channels		C554			
14.4.6	Co-channel rejection - TCH/EFS	Phase 2	MS supporting EFR speech (NOTE 2)	R13	C83			
14.4.6a	Co-channel rejection - TCH/EFS in TIGHTER configuration	Rel-10	MS supporting TIGHTER for speech and signalling channels		C554			
14.4.7	Receiver performance in the case of frequency hopping and co-channel interference on one carrier 	R97	MS supporting speech		C52			
14.4.8	Co-channel rejection – TCH/AFS	R98 AND AMR Loops	MS supporting AMR and AMR Test-Loops (NOTE 2)	R13, L3	C321	TSPC_DARP_Phase1 TSPC_DARP_Phase2		
14.4.8a	Co-channel rejection - TCH/AFS in TIGHTER configuration	Rel-10	MS supporting AMR, DARP phase 1 and Tighter		C559			
14.4.16	Co-channel rejection – TCH/AHS	R98 AND AMR Loops	MS supporting AMR Half Rate and AMR Test-Loops (NOTE 2)	R13, R7	C333			
14.4.16a	Co-channel rejection - TCH/AHS in TIGHTER configuration	Rel-10	MS supporting TIGHTER for speech and signalling channels		C554			
14.4.17	Co-channel rejection – TCH/AFS-INB	R98 AND AMR Loops	MS supporting AMR and AMR Test-Loops	L4	C321	TSPC_AddInfo_Half_rate_version_3		
14.4.18	Co-channel rejection – TCH/AHS-INB	R98 AND AMR Loops	MS supporting AMR Half Rate and AMR Test-Loops		C333			
14.4.19	Co-channel rejection – O-TCH/AHS	Rel-5	MS supporting O-TCH/AHS		C358			
14.4.20	Co-channel rejection – O-TCH/AHS-INB	Rel-5	MS supporting O-TCH/AHS		C358			
14.4.21	Co-channel rejection – O-FACCH/H	Rel-5	MS supporting O-TCH/AHS or O-TCH/WHS		C391	TSPC_O-TCH_WHS TSPC_O-TCH_AHS		
14.4.24	Co-channel interference – O-TCH/WFS	Rel-5	MS supporting O-TCH/WFS		C366			
14.4.25	Co-channel interference – O-TCH/WHS	Rel-5	MS supporting O-TCH/WHS		C383			
14.4.26	Co-channel rejection - O-TCH/WFS-INB	Rel-5	MS supporting O-TCH/WFS and AMR Test-Loops		C395			
14.4.27	Void							
14.4.28	Co-channel Interference – TCH/WFS	Rel-5	MS supporting TCH/WFS (NOTE 2)	R13	C387	TSPC_Type_SmallMS TSPC_Type_DCS_Class1 TSPC_Type_DCS_Class2 TSPC_Type_DCS_Class3 TSPC_Type_PCS_Class1 TSPC_Type_PCS_Class2		
14.4.28a	Co-channel rejection - TCH/WFS in TIGHTER configuration	Rel-10	MS supporting TIGHTER for speech and signalling channels		C554			
14.4.29	Co-channel Interference – TCH/WFS-INB	Rel-5	MS supporting TCH/WFS		C387			
14.4.30	Co-Channel Rejection O-FACCH/F	Rel-5	MS supporting O-TCH/WFS		C366			
14.4.31	Co-channel rejection – Repeated FACCH/F	Rel-6	MS supporting Repeated FACCH		C466	TSPC_Type_SmallMS TSPC_Type_DCS_Class1 TSPC_Type_DCS_Class2 TSPC_Type_DCS_Class3 TSPC_Type_PCS_Class1 TSPC_Type_PCS_Class2		
14.4.32	Co-channel rejection – Repeated SACCH	Rel-6	MS supporting Repeated SACCH		C414	TSPC_Type_SmallMS TSPC_Type_DCS_Class1 TSPC_Type_DCS_Class2 TSPC_Type_DCS_Class3 TSPC_Type_PCS_Class1 TSPC_Type_PCS_Class2		
14.5.1.1	Adjacent channel rejection - speech channels – TCH/FS	Phase 2	MS supporting speech (NOTE 2)	R12, R13	C24			
14.5.1.1a	Adjacent channel rejection - TCH/FS in TIGHTER configuration	Rel-10	MS supporting TIGHTER for speech and signalling channels		C554			
14.5.1.2	Adjacent channel rejection - speech channels – TCH/AFS	R98 AND AMR Loops	MS supporting AMR and AMR Test-Loops (NOTE 2)	R13	C321			
14.5.1.2a	Adjacent channel rejection - TCH/AFS in TIGHTER configuration	Rel-10	MS supporting TIGHTER for speech and signalling channels		C554			
14.5.1.3	Adjacent channel rejection - speech channels – TCH/AHS	R98 AND AMR Loops	MS supporting AMR Half Rate and AMR Test-Loops (NOTE 2)	R13	C333			
14.5.1.3a	Adjacent channel rejection - TCH/AHS in TIGHTER configuration	Rel-10	MS supporting TIGHTER for speech and signalling channels		C554			
14.5.1.4	Adjacent channel rejection - speech channels – O-TCH/AHS	Rel-5	MS supporting O-TCH/AHS		C358			
14.5.1.5	Adjacent Channel Rejection - speech channels - O-TCH/WFS	Rel-5	MS supporting O-TCH/WFS		C366			
14.5.1.6	Adjacent channel interference O-TCH/WHS	Rel-5	MS supporting O-TCH/WHS		C383			
14.5.1.7	Adjacent Channel Interference – TCH/WFS	Rel-5	MS supporting TCH/WFS (NOTE 2)	R13	C387			
14.5.1.7a	Adjacent Channel Interference - TCH/WFS in TIGHTER configuration	Rel-10	MS supporting TIGHTER for speech and signalling channels		C554			
14.5.2	Adjacent channel rejection - control channels	Phase 2	MS not supporting speech		C53			
14.6.1	Intermodulation rejection - speech channels	Phase 2	MS supporting speech		C52			
14.6.2	Intermodulation rejection - control channels	Phase 2	MS not supporting speech		C53			
14.7.1	Blocking and spurious response - speech channels	Phase 2	Non R-GSM MS supporting speech		C100			
14.7.2	Blocking and spurious response - control channels	Phase 2	MS not supporting speech		C53			
14.7.3	Blocking and spurious response - speech channels for MS supporting the R-GSM or ER-GSM band	R97	R-GSM MS supporting speech		C116			
14.7.4	Blocking and spurious response - control channels for MS supporting the R-GSM or ER-GSM band	R97	R-GSM MS not supporting speech		C119			
14.8.1	AM suppression - speech channels	Phase 2	MS supporting speech		C52			
14.8.2	AM suppression - control channels	Phase 2	MS not supporting speech		C53			
14.8.3	AM suppression - packet channels	Rel-99	EGPRS MS not supporting speech		C586			
14.9	Paging performance at high input levels	Phase 2	All MS		A			
14.10.1	Performance of the Codec Mode Request Generation – TCH/AFS	R98	MS supporting AMR full rate and not MS with Improved RX Performance		C362			
14.10.2	Performance of the Codec Mode Request Generation – TCH/AHS	R98	MS supporting AMR half rate and not MS with Improved RX Performance		C363			
14.10.3	 Performance of the Codec Mode Request Generation – TCH/AFS - improved RX	R99	MS supporting AMR full rate and Improved RX Performance		C434			
14.10.4	 Performance of the Codec Mode Request Generation – TCH/AHS – improved RX	R99	MS supporting AMR half rate and Improved RX Performance		C435			
14.10.5	Performance of the Codec Mode Request Generation – O-TCH/AHS	Rel-5	MS supporting O-TCH/AHS		C358			
14.10.6	Performance of the Codec Mode Request Generation – O-TCH/WFS	Rel-5	MS supporting O-TCH/WFS		C366			
14.10.7	Performance of the Codec Mode Request Generation – O-TCH/WHS	Rel-5	MS supporting O-TCH/WHS		C383			
14.10.8	Performance of the Codec Mode Request Generation – TCH/WFS	Rel-5	MS supporting TCH/WFS and not MS with DARP		C396			
14.10.9	Performance of the Codec Mode Request Generation – TCH/WFS - DARP	Rel-5	MS supporting TCH/WFS and DARP		C436			
14.11.1.1	DARP ph1 Speech bearer tests / TCH/FS / DTS-1	R99	MS supporting full rate speech and DARP phase 1 OR DARP phase 2 (NOTE 2)	R13	C350			
14.11.1.1a	DARP Phase 1 Speech bearer test TCH/FS DTS-1 in TIGHTER configuration	Rel-10	MS supporting full rate speech and DARP phase 1 and TIGHTER		C560			
14.11.2.1	DARP ph1 Speech bearer tests / TCH/AFS / DTS-1	R99	MS supporting AMR and DARP phase 1 OR DARP phase 2 (NOTE 2)	R13	C344			
14.11.2.1a	DARP Phase 1 Speech bearer test TCH/AFS DTS-1 in TIGHTER configuration	Rel-10	MS supporting AMR and DARP phase 1 and TIGHTER		C559			
14.11.2.2	DARP ph1 Speech bearer tests / TCH/AFS / DTS-4	R99	MS supporting AMR and DARP phase 1 OR DARP phase 2 (NOTE 2)	R13	C344			
14.11.2.2a	DARP Phase 1 Speech bearer test TCH-AFS/ DTS-4 in TIGHTER configuration	Rel-10	MS supporting AMR, DARP phase 1 and Tighter 		C559			
14.11.2.3	DARP ph1 Speech bearer tests / TCH/AFS / DTS-2/3/5	R99	MS supporting AMR and DARP phase 1 OR DARP phase 2 (NOTE 2)	R13	C344			
14.11.2.3a	DARP Phase 1 Speech bearer test TCH/AFS DTS-2/3/5 in TIGHTER configuration	Rel-10	MS supporting AMR and DARP phase 1 and TIGHTER		C559			
14.11.3.1	DARP ph1 Speech bearer tests / TCH/AHS / DTS-1	R99	MS supporting AMR and DARP phase 1 OR DARP phase (NOTE 2)	R13	C351			
14.11.3.1a	DARP Phase 1 Speech bearer test TCH/AHS DTS-1 in TIGHTER configuration	Rel-10	MS supporting AMR and DARP phase 1 and TIGHTER		C559			
14.11.3.3	DARP ph1 Speech bearer tests / TCH/AHS / DTS-2/3	R99	MS supporting AMR and DARP phase 1 OR DARP phase 2 (NOTE 2)	R13	C351			
14.11.3.3a	DARP Phase 1 Speech bearer test -TCH-AHS/ DTS-2/3 in TIGHTER configuration	Rel-10	MS supporting AMR, DARP phase 1 and Tighter 		C559			
14.12.1.1	DARP Ph1 Signalling bearer tests / FACCH DTS-1	R99	MS supporting AMR and DARP phase 1 OR DARP phase (NOTE 2)	R13	C350			
14.12.1.1a	DARP Phase 1 Signalling bearer test - FACCH/F -DTS-1 in TIGHTER configuration	Rel-10	MS supporting DARP phase 1 and Tighter		C560			
14.12.1.2	DARP Ph1 Signalling bearer tests / FACCH DTS-2-3	R99	MS supporting AMR and DARP phase 1 OR DARP phase (NOTE 2)	R13	C350			
14.12.1.2a	DARP Phase 1 Signalling bearer test - FACCH/F – DTS-2-3 in TIGHTER configuration	Rel-10	MS supporting AMR, DARP phase 1 and Tighter 		C559			
14.13	Void							
14.14	Void							
14.15	Void							
14.16.1	Minimum Input level for Reference Performance	R97	All GPRS MS (NOTE 2)	R13	C215			
14.16.1a	Minimum Input level for Reference Performance in TIGHTER	Rel-10	All GPRS MS supporting TIGHTER		C591			
14.16.2.1	Co-channel rejection for packet channels	R97	All GPRS MS (NOTE 2)	R13	C215	TSPC_DARP_Phase1		
14.16.2.1a	Co-channel rejection for packet channels in TIGHTER configuration	Rel-10	All GPRS MS supporting TIGHTER		C591			
14.16.3	Acknowledged mode / Downlink TBF / I_LEVEL measurement report	R97	All GPRS MS		C215			
14.16.4.1	DARP Ph1 GPRS test / DTS-1	R99	All GPRS MS supporting DARP phase 1 or DARP phase 2 (NOTE 2)	R13	C349			
14.16.4.1a	DARP Ph1 GPRS test / DTS-1 in TIGHTER configuration	Rel-10	MS supporting DARP phase 1 and Tighter		C560			
14.16.4.2	DARP Ph1 GPRS tests / DTS-2 / DTS-3	R99	All GPRS MS supporting DARP phase 1 or DARP phase 2 (NOTE 2)	R13	C349			
14.16.4.2a	DARP Ph1 GPRS tests / DTS-2 / DTS-3 in TIGHTER configuration	Rel-10	MS supporting DARP phase 1 and Tighter		C560			
14.16.5.1	DARP phase II GPRS test / DTS-1	Rel-7	All GPRS MS supporting DARP phase II		C448			
14.16.5.2	DARP phase II GPRS test / DTS-2 / DTS-5	Rel-7	All GPRS MS supporting DARP phase II		C448			
14.18.1	Minimum Input Level for Reference Performance	R99	All EGPRS MS (NOTE 2)	R13	C216			
14.18.1a	Minimum Input level for Reference Performance in EGPRS2A Configuration	Rel-7	All EGPRS2A MS (NOTE 2)	R13	C487			
14.18.1b	Minimum Input level for Reference Performance in TIGHTER	Rel-10	All EGPRS MS supporting TIGHTER		C592			
14.18.1c	Minimum Input level for Reference Performance in EGPRS2A with TIGHTER configuration	Rel-10	All EGPRS2 MS supporting TIGHTER		C593			
14.18.1d	Minimum Input level for Reference Performance in for EC-GSM-IoT Configuration	Rel-13	MS supporting EC-GSM-IoT		C614			
14.18.2	Co-channel Rejection	R99	All EGPRS MS (NOTE 2)	R13	C216	TSPC_DARP_Phase1		
14.18.2a	Co-channel Rejection in EGPRS2A Configuration	Rel-7	All EGPRS2A MS (NOTE 2)	R13	C487			
14.18.2b	Co-channel rejection for packet channels in TIGHTER configuration	Rel-10	All EGPRS MS supporting TIGHTER 		C592	 		
14.18.2c	Co-channel rejection in EGPRS2A with TIGHTER configuration	Rel-10	MS supporting EGPRS2A and Tighter		C580			
14.18.3	Adjacent channel Rejection	R99	All EGPRS MS (NOTE 2)	R13	C216			
14.18.3a	Adjacent channel rejection in EGPRS2A configuration	Rel-7	All EGPRS2A MS (NOTE 2)	R13	C487			
14.18.3b	Adjacent-channel rejection for packet channels in TIGHTER configuration	Rel-10	All EGPRS MS supporting TIGHTER		C592			
14.18.3c	Adjacent channel rejection in EGPRS2A with TIGHTER	Rel-10	MS supporting EGPRS2A and Tighter		C580			
14.18.3d	Adjacent channel rejection in DLMC configuration	Rel-12	MS supporting Downlink Multi Carrier		C605			
14.18.4	Intermodulation Rejection	R99	All EGPRS MS		C216			
14.18.4a	Intermodulation Rejection in EGPRS2A Configuration	Rel-7	All EGPRS2A MS		C487			
14.18.5	Blocking and spurious response	R99	All EGPRS MS		C216			
14.18.5a	Blocking and spurious response in EGPRS2A configuration	Rel-7	All EGPRS2A MS		C487			
14.18.5b	Blocking and spurious response in DLMC configuration	Rel-12	MS supporting Downlink Multi Carrier		C605			
14.18.6	EGPRS Usable receiver input level range	R99	All EGPRS MS		C216			
14.18.6a	EGPRS Usable receiver input level range in EGPRS2A	Rel-7	All EGPRS2A MS		C487	TSPC_Type_EGPRS_32QAM_uplink		
14.18.7	Incremental redundancy performance	R99	All EGPRS MS		C216			
