Clause	Title	Release	Applicability	Tested Bands / CA-Configurations Selection	Branch	Additional Information
							
6.2.5E	Configured transmitted power for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0)	D01	FDD, HD-FDD, TDD 	
							
							
6.2.5EA	Configured UE transmitted Power for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
6.2.5F	Configured UE transmitted Output Power for category NB1	Rel-13	C112b	UE supporting category NB1	D12, D13	HD-FDD	
6.3.1	Void						
6.3.2	Minimum Output Power	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
6.3.2A.1	Minimum Output Power for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD, TDD	
							
6.3.2A.2	Minimum Output Power for CA (inter-band DL CA and UL CA)	Rel-11	C116	UE supporting E-UTRA and inter-band DL CA and UL CA	E03	FDD, TDD	
							
6.3.2A.3	Minimum Output Power for CA (intra-band non-contiguous DL CA and UL CA)	Rel-11	C115	UE supporting E-UTRA and inter-band DL CA and UL CA	E02	FDD	
6.3.2B	Minimum Output Power for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
6.3.2E	Minimum Output Power for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0	D01		
						FDD, HD-FDD, TDD	
							
6.3.2EA	Minimum Output Power for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
6.3.2F	Minimum Output Power for category NB1	Rel-13	C112b	UE supporting category NB1	D12, D13	HD-FDD	
6.3.3	Transmit OFF Power	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
6.3.3A.1	Transmit OFF Power for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD, TDD	
							
6.3.3A.2	UE Transmit OFF power for CA (inter-band DL CA and UL CA)	Rel-11	C116	UE supporting E-UTRA and inter-band DL CA and UL CA	E03	FDD, TDD	
							
6.3.3A.3	Transmit OFF Power for CA (intra-band non-contiguous DL CA and UL CA)	Rel-11	C115	UE supporting E-UTRA and intra-band non-contiguous DL CA and UL CA	E02	FDD, TDD	
							
6.3.3B	UE Transmit OFF power for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
6.3.3E	UE Transmit OFF power for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0	D01	FDD, HD-FDD, TDD	
							
							
6.3.3EA	UE Transmit OFF power for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
6.3.4.1	General ON/OFF time mask	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
6.3.4.2.1	PRACH time mask	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
6.3.4.2.2	SRS time mask	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
6.3.4A.1.1	General ON/OFF time mask for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD, TDD	
							
6.3.4A.1.2	General ON/OFF time mask for CA (inter-band DL CA and UL CA)	Rel-11	C116	UE supporting E-UTRA and inter-band DL CA and UL CA	E03	FDD, TDD	
							
6.3.4A.1.3	General ON/OFF time mask for CA (intra-band non-contiguous DL CA and UL CA)	Rel-11	C115	UE supporting E-UTRA and intra-band non-contiguous DL CA and UL CA	E02	FDD, TDD	
							
6.3.4B.1	ON/OFF time mask for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
6.3.4C.1	General ON/OFF time mask for Dual Connectivity	Rel-12	C224	UE supporting Dual Connectivity	E03	FDD, TDD	
							
6.3.4C.1_1	General ON/OFF time mask for asynchronous Dual Connectivity	Rel-12	C225	UE supporting asynchronous Dual Connectivity	E03	FDD, TDD	
							
6.3.4E.1	General ON/OFF time mask for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0	D01	FDD, HD-FDD, TDD	
							
							
6.3.4E.2	Prach and SRC ON/OFF time mask for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0	D01	FDD, HD-FDD, TDD	
							
							
6.3.4EA.1	General ON/OFF time mask for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
6.3.4EA.2.1	PRACH time mask for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
6.3.4EA.2.2	SRS time mask for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
6.3.4F.1	General ON/OFF time mask for category NB1	Rel-13	C112b	UE supporting category NB1	D12, D13	HD-FDD	
6.3.4F.2	NPRACH time mask for category NB1	Rel-13	C112b	UE supporting category NB1	D12, D13	HD-FDD	
6.3.5.1	Power Control Absolute Power Tolerance	Rel-8	C186	UE supporting E-UTRA Power Class 3	D01	FDD, TDD	
							
6.3.5.2	Power Control Relative Power Tolerance	Rel-8	C186	UE supporting E-UTRA Power Class 3	D01	FDD, TDD	
							
6.3.5.3	Aggregate Power Control Tolerance	Rel-8	C186	UE supporting E-UTRA Power Class 3	D01	FDD, TDD	
							
6.3.5A.1.1	Power Control Absolute Power Tolerance for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD, TDD	
							
6.3.5A.1.2	Power Control Absolute Power Tolerance for CA (inter-band DL CA and UL CA)	Rel-11	C116	UE supporting E-UTRA and inter-band DL CA and UL CA	E03	FDD, TDD	
							
6.3.5A.1.3	Power Control Absolute Power Tolerance for CA (intra-band non-contiguous DL CA and UL CA)	Rel-11	C115	UE supporting E-UTRA and intra-band non-contiguous DL CA and UL CA	E02	FDD, TDD	
							
6.3.5A.2.1	Power Control Relative Power Tolerance for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD, TDD	
							
6.3.5A.2.2	Power Control Relative Power Tolerance for CA (inter-band DL CA and UL CA)	Rel-11	C116	UE supporting E-UTRA and inter-band DL CA and UL CA	E03	FDD, TDD	
							
6.3.5A.2.3	Power Control Relative Power Tolerance for CA (intra-band non-contiguous DL CA and UL CA)	Rel-11	C115	UE supporting E-UTRA and intra-band non-contiguous DL CA and UL CA	E02	FDD, TDD	
							
6.3.5A.3.1	Aggregate Power Control Tolerance for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD, TDD	
							
6.3.5A.3.2	Aggregate Power Control Tolerance for CA (inter-band DL CA and UL CA)	Rel-11	C116	UE supporting E-UTRA and inter-band DL CA and UL CA	E03	FDD, TDD	
							
6.3.5A.3.3	Aggregate Power Control Tolerance for CA (intra-band non-contiguous DL CA and UL CA)	Rel-11	C115	UE supporting E-UTRA and intra-band non-contiguous DL CA and UL CA	E02	FDD, TDD	
							
6.3.5B.1	Power Control Absolute power tolerance for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
6.3.5B.2	Power Control Relative power tolerance for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
6.3.5B.3	Aggregate power control tolerance for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
6.3.5C.2	Power Control Relative power tolerance for Dual Connectivity	Rel-12	C224	UE supporting Dual Connectivity	E03	FDD, TDD	
							
6.3.5C.2_1	Power Control Relative power tolerance for asynchronous Dual Connectivity	Rel-12	C225	UE supporting asynchronous Dual Connectivity	E03	FDD, TDD	
							
6.3.5E.1	Power Control Absolute power tolerance for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0	D01	FDD, HD-FDD, TDD	
							
							
6.3.5E.2	Power Control Relative power tolerance for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0	D01	FDD, HD-FDD, TDD	
							
							
6.3.5E.3	Aggregate power control tolerance for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0	D01	FDD, HD-FDD, TDD	
							
							
6.3.5EA.1	Power control for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
6.3.5EA.2	Power Control Relative power tolerance for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
6.3.5EA.3	Aggregate power control tolerance for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
6.3.5EA.3_1	Aggregate power control tolerance for UE category M1 (CE Mode B)	Rel-13	C156c	UE supporting E-UTRA and UE category M1	D02	HD-FDD	
6.3.5F.1	Power Control Absolute power tolerance for category NB1	Rel-13	C112b	UE supporting category NB1	D12, D13	HD-FDD	
6.3.5F.2	Power Control Relative power tolerance for category NB1	Rel-13	C112b	UE supporting category NB1	D12, D13	HD-FDD	
6.3.5F.3	Aggregate power control tolerance for category NB1	Rel-13	C112b	UE supporting category NB1	D12, D13	HD-FDD	
6.3.5_1.1	Power Control Absolute Power Tolerance for HPUE	Rel-10	C39	UE supporting E-UTRA Power Class 1 or Power Class 2	D04	FDD	
6.3.5_1.2	Power Control Relative Power Tolerance for HPUE	Rel-10	C39	UE supporting E-UTRA Power Class 1 or Power Class 2	D04	FDD	
6.3.5_1.3	Aggregate Power Control Tolerance for HPUE	Rel-10	C39	UE supporting E-UTRA Power Class 1 or Power Class 2	D04	FDD	
6.5.1	Frequency Error	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
6.5.1A.1	Frequency Error for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD, TDD	
							
6.5.1A.2	Frequency error for CA (inter-band DL CA and UL CA)	Rel-11	C116	UE supporting E-UTRA and inter-band DL CA and UL CA	E03	FDD, TDD	
							
6.5.1A.3	Frequency Error for CA (intra-band non-contiguous DL CA and UL CA)	Rel-11	C115	UE supporting E-UTRA and intra-band non-contiguous DL CA and UL CA	E02	FDD, TDD	
							
6.5.1B	Frequency Error for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
6.5.1D.1	Frequency error for ProSe Direct Discovery	Rel-12	C163	UE supporting E-UTRA and ProSe direct discovery	D10	FDD, TDD	
							
6.5.1D.2	Frequency error for ProSe Direct Communication	Rel-12	C162	UE supporting E-UTRA and ProSe direct communication	D10	FDD, TDD	
							
6.5.1E	Frequency Error for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0	D01	FDD, HD-FDD, TDD	
							
							
6.5.1EA	Frequency Error for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
6.5.1EA_1	Frequency Error for UE category M1 (CEmodeB)	Rel-13	C156c	UE supporting E-UTRA FDD and (UE category M1 and CE Mode B)	D02	FDD, HD-FDD, TDD	
6.5.1F	Frequency Error for category NB1	Rel-13	C112b	UE supporting category NB1	D12, D13	HD-FDD	
6.5.2.1	Error Vector Magnitude (EVM)	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
6.5.2.1_1	Error Vector Magnitude (EVM) for UL 64QAM	Rel-13	C147	UE supporting E-UTRA and UL 64QAM	D01	FDD, TDD	Note 1
							
6.5.2.1A	PUSCH-EVM with exclusion period	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
6.5.2.1E.1	Error Vector Magnitude for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0	D01	FDD, HD-FDD, TDD	
							
							
6.5.2.1E.2	PUSCH-EVM with exclusion period for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0	D01	FDD, HD-FDD, TDD	
							
							
6.5.2.1EA.1	Error Vector Magnitude (EVM) for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
6.5.2.1EA.2	PUSCH-EVM with exclusion period for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
6.5.2.1F.1	Error Vector Magnitude (EVM) for category NB1	Rel-13	C112b	UE supporting category NB1	D12, D13	HD-FDD	
6.5.2.2	Carrier leakage	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
6.5.2.2E	Carrier leakage for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0	D01	FDD, HD-FDD, TDD	
							
							
6.5.2.2EA	Carrier leakage for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
6.5.2.2F	Carrier leakage for category NB1	Rel-13	C112b	UE supporting category NB1	D12, D13	HD-FDD	
6.5.2.3	In-band emissions for non allocated RB	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
6.5.2.3E	In-band emissions for non allocated RB for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0	D01	FDD, HD-FDD, TDD	
							
							
6.5.2.3EA	In-band emissions for non allocated RB for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
6.5.2.3F	In-band emissions for non allocated RB for category NB1	Rel-13	C112b	UE supporting category NB1	D12, D13	HD-FDD	
6.5.2.4	EVM equalizer spectrum flatness	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
6.5.2.4E	EVM equalizer spectrum flatness for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0	D01	FDD, HD-FDD, TDD	
							
							
6.5.2.4EA	EVM equalizer spectrum flatness for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
6.5.2A.1.1	Error Vector Magnitude (EVM) for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD, TDD	
							
6.5.2A.1.1_1	EVM for CA (intra-band contiguous DL CA and UL CA) with UL 64QAM	Rel-13	C148	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA and UL 64QAM.	E01	FDD, TDD	Note 1
							
6.5.2A.1.2	Error Vector Magnitude (EVM) for CA (inter-band DL CA and UL CA)	Rel-11	C116	UE supporting E-UTRA and inter-band DL CA and UL CA	E03	FDD, TDD	
							
6.5.2A.1.2_1	Error Vector Magnitude (EVM) for CA (inter-band DL CA and UL CA) for UL 64QAM	Rel-13	C160	UE supporting E-UTRA and inter-band DL CA and UL CA and UL 64QAM	E03	FDD, TDD	Note 1
							
6.5.2A.1.3	Error Vector Magnitude (EVM) for CA (intra-band non-contiguous DL CA and UL CA)	Rel-11	C115	UE supporting E-UTRA and intra-band non-contiguous DL CA and UL CA	E02	FDD, TDD	
							
6.5.2A.1.3_1	Error Vector Magnitude (EVM) for CA (intra-band non-contiguous DL CA and UL CA) for UL 64QAM	Rel-13	C185	UE supporting E-UTRA and intra-band non-contiguous DL CA and UL CA and UL 64QAM	E02	FDD, TDD	
							
6.5.2A.2.1	Carrier leakage for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD, TDD	
							
6.5.2A.2.2	Carrier leakage for CA (inter-band DL CA and UL CA)	Rel-11	C116	UE supporting E-UTRA and inter-band DL CA and UL CA	E03	FDD, TDD	
							
6.5.2A.2.3	Carrier leakage for CA (intra-band non-contiguous DL CA and UL CA)	Rel-11	C115	UE supporting E-UTRA and intra-band non-contiguous DL CA and UL CA	E02	FDD, TDD	
							
6.5.2A.3.1	In-band emissions for non allocated RB for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD, TDD	
							
6.5.2A.3.2	In-band emissions for non allocated RB for CA (inter-band DL CA and UL CA)	Rel-11	C116	UE supporting E-UTRA and inter-band DL CA and UL CA	E03	FDD, TDD	
							
6.5.2A.3.3	In-band emissions for non allocated RB for CA (intra-band non-contiguous DL CA and UL CA)	Rel-11	C115	UE supporting E-UTRA and intra-band non-contiguous DL CA and UL CA	E02	FDD, TDD	
							
6.5.2B.1	Error Vector Magnitude for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
6.5.2B.2	Carrier leakage for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
6.5.2B.3	In-band emissions for non allocated RB for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
6.5.2B.4	EVM equalizer spectrum flatness for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
6.6.1	Occupied bandwidth	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
6.6.1A.1	Occupied bandwidth for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD, TDD	
							
6.6.1A.2	6.6.1A.2 Occupied bandwidth for CA (inter-band DL CA and UL CA)	Rel-11	C116	UE supporting E-UTRA and inter-band DL CA and UL CA	E03	FDD, TDD	
							
6.6.1A.3	Occupied bandwidth for CA (intra-band non-contiguous DL CA and UL CA)	Rel-11	C115	UE supporting E-UTRA and intra-band non-contiguous DL CA and UL CA	E02	FDD, TDD	
							
6.6.1B	Occupied bandwidth for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
6.6.1E	Occupied bandwidth for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0	D01	FDD, HD-FDD, TDD	
							
							
6.6.1EA	Occupied bandwidth for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
6.6.1F	Occupied bandwidth for category NB1	Rel-13	C112b	UE supporting category NB1	D12, D13	FDD, HD-FDD, TDD	
6.6.2.1	Spectrum Emission Mask	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
6.6.2.1_1	Spectrum Emission Mask for Multi-cluster PUSCH	Rel-10	C100	UE supporting E-UTRA and Multi-Cluster PUSCH	D07	FDD, TDD	
							
6.6.2.1A.1	Spectrum Emission Mask for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD, TDD	
							
6.6.2.1A.2	Spectrum Emission Mask for CA (inter-band DL CA and UL CA)	Rel-11	C116	UE supporting E-UTRA and inter-band DL CA and UL CA	E03	FDD, TDD	
							
6.6.2.1A.3	Spectrum Emission Mask for CA (intra-band non-contiguous DL CA and UL CA)	Rel-11	C115	UE supporting E-UTRA and intra-band non-contiguous DL CA and UL CA	E02	FDD, TDD	
							
6.6.2.1B	Spectrum Emission Mask for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
6.6.2.1E	Spectrum Emission Mask for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0	D01	FDD, HD-FDD, TDD	
							
							
6.6.2.1EA	Spectrum Emission Mask for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
6.6.2.1F	Spectrum Emission Mask for category NB1	Rel-13	C112b	UE supporting category NB1	D11	HD-FDD	
6.6.2.2	Additional Spectrum Emission Mask	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
6.6.2.2_1	Additional Spectrum Emission Mask for UL 64QAM	Rel-13	C147	UE supporting E-UTRA and UL 64QAM	D01	FDD, TDD	Note 1
							
6.6.2.2A.1	Additional Spectrum Emission Mask for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD, TDD	
							
6.6.2.2A.2	Additional Spectrum Emission Mask for CA (inter-band DL CA and UL CA)	Rel-11	C116	UE supporting E-UTRA and inter-band DL CA and UL CA	E03	FDD, TDD	
							
6.6.2.2A.3	Additional Spectrum Emission Mask for CA (intra-band non-contiguous DL CA and UL CA)	Rel-11	C115	UE supporting E-UTRA and intra-band non-contiguous DL CA and UL CA	E02	FDD, TDD	
							
6.6.2.2A.1_1	Additional Spectrum Emission Mask for CA (intra-band contiguous DL CA and UL CA) for UL 64QAM	Rel-13	C148	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA and UL 64QAM.	E01	FDD, TDD	Note 1
							
6.6.2.2A.2_1	Additional Spectrum Emission Mask for CA (inter-band DL CA and UL CA) for UL 64QAM	Rel-13	C160	UE supporting E-UTRA and inter-band DL CA and UL CA and UL 64QAM	E03	FDD, TDD	Note 1
							
6.6.2.2B	Additional Spectrum Emission Mask for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
6.6.2.2E	Additional Spectrum Emission Mask for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0	D01	FDD, HD-FDD, TDD	
							
							
6.6.2.2EA	Additional Spectrum Emission Mask for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
6.6.2.3	Adjacent Channel Leakage power Ratio	Rel-8	C186	UE supporting E-UTRA Power Class 3	D01	FDD, TDD	
							
6.6.2.3_1	Adjacent Channel Leakage power Ratio for HPUE	Rel-10	C39	UE supporting E-UTRA Power Class 1 or Power Class 2	D04	FDD, TDD	
							
6.6.2.3_2	Adjacent Channel Leakage power Ratio for Multi-Cluster PUSCH	Rel-10	C159 (Note 2)	UE supporting E-UTRA and Multi-Cluster PUSCH	D07	FDD, TDD	
							
6.6.2.3A.1	Adjacent Channel Leakage power Ratio for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD, TDD	
							
6.6.2.3A.2	Adjacent Channel Leakage power Ratio for CA (inter-band DL CA and UL CA)	Rel-11	C116	UE supporting E-UTRA and inter-band DL CA and UL CA	E03	FDD, TDD	
							
6.6.2.3A.3	Adjacent Channel Leakage power Ratio for CA (intra-band non-contiguous DL CA and UL CA)	Rel-11	C115	UE supporting E-UTRA and intra-band non-contiguous DL CA and UL CA	E02	FDD, TDD	
							
6.6.2.3A.1_1	Adjacent Channel Leakage power Ratio for CA (intra-band contiguous DL CA and UL CA) for UL 64QAM	Rel-13	C148	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA and UL 64QAM	E01	FDD, TDD	Note 1
							
6.6.2.3A.2_1	Adjacent Channel Leakage power Ratio for CA (inter-band DL CA and UL CA) for UL 64QAM	Rel-13	C160	UE supporting E-UTRA and inter band DL CA and UL CA and UL 64QAM	E03	FDD, TDD	Note 1
							
6.6.2.3A.3_1	Adjacent Channel Leakage power Ratio for CA (intra-band non-contiguous DL CA and UL CA) for UL 64QAM	Rel-13	C161	UE supporting E-UTRA and intra-band non-contiguous DL CA and UL CA and UL 64QAM	E02	FDD, TDD	Note 1
							
6.6.2.3B	Adjacent Channel Leakage power Ratio for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
6.6.2.3E	Adjacent Channel Leakage power Ratio for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0	D01	FDD, HD-FDD, TDD	
							
							
6.6.2.3EA	Adjacent Channel Leakage power Ratio for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
6.6.2.3F	Adjacent Channel Leakage power Ratio for category NB1	Rel-13	C112b	UE supporting category NB1	D11	HD-FDD	
6.6.2.3_3	Adjacent Channel Leakage power Ratio for UL 64QAM	Rel-13	C147	UE supporting E-UTRA and UL 64QAM	D01	FDD, TDD	Note 1
							Note 1
6.6.2.3_4	Adjacent Channel Leakage power Ratio for Multi-Cluster PUSCH with UL 64QAM	Rel-13	C149	UE supporting E-UTRA and Multi-Cluster PUSCH and UL 64QAM	D07	FDD, TDD	Note 1
							
6.6.2.4	Void						
6.6.3.1	Transmitter Spurious emissions	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
6.6.3.1_1	Transmitter Spurious emissions for Multi-Cluster PUSCH	Rel-10	C100	UE supporting E-UTRA and Multi-Cluster PUSCH	D07	FDD, TDD	
							
6.6.3.1A.1	Transmitter Spurious emissions for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD, TDD	
							
