Clause	Title	Release	Applicability	Comments	Number of TC Executions (informative)	Release RAT
7.1.7.4	MAC-is/i transport block size selection/ UL QPSK	Rel-8	C638	UEs supporting FDD and MAC-i/is	1 Execution: PS	
7.1.7.5	MAC-is/i transport block size selection/ UL 16QAM	Rel-8	C638a	UEs supporting FDD, MAC-i/is and 16QAM	1 Execution: PS	
7.1.8.1	Release of common E-DCH resource when maximum resource allocation for E-DCH expires or uplink transmission ends for CCCH transmission	Rel-8	C647	UEs supporting FDD and E-DCH in CELL_FACH	1 Execution: PS preferred	
7.1.8.2	Activation of HS-DPCCH based on the received SIB5/SIB5bis information	Rel-8	C647	UEs supporting FDD and E-DCH in CELL_FACH	1 Execution: PS preferred	
7.1.8.3	DTCH/DCCH transmission - implicit common E-DCH resource release without receiving E-AGCH	Rel-8	C647	UEs supporting FDD and E-DCH in CELL_FACH	1 Execution: PS preferred	
7.1.8.4	DTCH/DCCH transmission – explicit common E-DCH resource release by E-AGCH	Rel-8	C647	UEs supporting FDD and E-DCH in CELL_FACH	1 Execution: PS preferred	
7.1.8.5	RACH procedure with both normal AIs and extended AIs (using E-AICH).	Rel-8	C647	UEs supporting FDD and E-DCH in CELL_FACH	1 Execution: PS preferred	
7.1.8.6	DTCH/DCCH transmission - Implicit release with E-DCH transmission continuation back off Timer Based	Rel-8	C647	UEs supporting FDD and E-DCH in CELL_FACH	1 Execution: PS preferred	
7.1.8.6a	DTCH/DCCH transmission - Implicit release with E-DCH transmission continuation backoff value set to “0”	Rel-8	C647	UEs supporting FDD and E-DCH in CELL_FACH	1 Execution: PS preferred	
7.1.8.7	Physical Channel Failure for EUL in CELL-FACH during initial access preamble	Rel-8	C647	UEs supporting FDD and E-DCH in CELL_FACH	1 Execution: PS preferred	
7.1.8.8	Radio Link Failure for Enhanced UL in CELL-FACH with DTCH/DCCH active	Rel-8	C647	UEs supporting FDD and E-DCH in CELL_FACH	1 Execution: PS preferred	
7.1.9.1	MAC-i/is multiplexing for Dual-Cell HSUPA	Rel-9	C822	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and Dual Cell Operation and (FDD E-DCH category 8 or 9)	1 Execution: PS	
7.1.9.2	Happy bit setting and SI handling for Dual-Cell HSUPA	Rel-9	C822	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and Dual Cell Operation and (FDD E-DCH category 8 or 9)	1 Execution: PS	
7.1.9.3	Void					
7.1.9.4	Void					
7.1.9.5	Deactivation and activation of secondary uplink frequency using HS-SCCH orders	Rel-9	C822	UEs supporting FDD and Support of dual cell HSUPA operation and (F-DPCH or Enhanced F-DPCH) and Dual Cell Operation and (FDD E-DCH category 8 or 9)	1 Execution: PS	
7.1.10.1	Fallback to R99 PRACH in CELL_FACH/ Network indicates fallback to R99 PRACH on CCCH	Rel-11	C647a	UE supporting FDD and Fallback to R99 PRACH in CELL_FACH	1 Execution: PS	
7.1.10.2	Fallback to R99 PRACH in CELL_FACH/ Network indicates fallback to R99 PRACH on DCCH	Rel-11	C647a	UE supporting FDD and Fallback to R99 PRACH in CELL_FACH	1 Execution: PS	
7.1.11.1	Maximum number of re-ordering SDUs with inter-Node B operation on two cells on one frequency	Rel-11	C914	UEs supporting FDD and Multiflow HSDPA operation on two cells on one frequency (SF-DC)	1 Execution: PS	
7.1.11.2	Maximum number of re-ordering SDUs with inter-Node B operation on three cells on two frequencies	Rel-11	C915	UEs supporting FDD and Multiflow HSDPA operation on three cells on two frequencies (DF-3C)	1 Execution: PS	
7.2.1.1	Void					
7.2.2.2	UM RLC / Segmentation and reassembly / Selection of 7 or 15 bit \"Length Indicators\"	R99	R	All UEs		
7.2.2.3	UM RLC / Segmentation and Reassembly / 7-bit \"Length Indicators\" / Padding	R99	R	All UEs	1 Execution: PS preferred	
7.2.2.4	UM RLC / Segmentation and Reassembly / 7-bit \"Length Indicators\" / LI = 0	R99	R	All UEs	1 Execution: PS preferred	
7.2.2.5	UM RLC / Reassembly / 7-bit \"Length Indicators\" / Invalid LI value	R99	R	All UEs	1 Execution: PS preferred	
7.2.2.6	UM RLC / Reassembly / 7-bit \"Length Indicators\" / LI value > PDU size	R99	R	All UEs	1 Execution: PS preferred	
7.2.2.7	UM RLC / Reassembly / 7-bit \"Length Indicators\" / First data octet LI	R99	R	All UEs	1 Execution: PS preferred	
7.2.2.8	UM RLC / Segmentation and Reassembly / 15-bit \"Length Indicators\" / Padding	R99	R	All UEs 		
7.2.2.9	UM RLC / Segmentation and Reassembly / 15-bit \"Length Indicators\" / LI = 0	R99	R	All UEs		
7.2.2.10	UM RLC / Segmentation / 15-bit \"Length Indicators\" / One octet short LI	R99	R	All UEs		
7.2.2.11	UM RLC / Reassembly/ 15-bit \"Length Indicators\" / Invalid LI value	R99	R	All UEs		
7.2.2.12	UM RLC / Reassembly/ 15-bit \"Length Indicators\" / LI value > PDU size	R99	R	All UEs		
7.2.2.13	UM RLC / Reassembly / 15-bit \"Length Indicators\" / First data octet LI	R99	R	All UEs		
7.2.2.14	UM RLC / Flexible handling of RLC PDU sizes for UM RLC in downlink	Rel-7	C578	UEs supporting FDD and MAC-ehs	1 Execution: PS	
7.2.2.15	UM RLC / Flexible handling of RLC PDU sizes for UM RLC in uplink	Rel-8	C638	UEs supporting FDD and MAC-i/is	1 Execution: PS	
7.2.3.2	AM RLC / Segmentation and reassembly / Selection of 7 or 15 bit \"Length Indicators\"	R99	R	All UEs		
7.2.3.3	AM RLC / Segmentation and Reassembly / 7-bit \"Length Indicators\" / Padding or Piggy-backed Status	R99	R	All UEs		
7.2.3.4	AM RLC / Segmentation and Reassembly / 7-bit \"Length Indicators\" / LI = 0	R99	R	All UEs	1 Execution: PS preferred	
7.2.3.5	AM RLC / Reassembly / 7-bit \"Length Indicators\" / Reserved LI value	R99	R	All UEs	1 Execution: PS preferred	
7.2.3.6	AM RLC / Reassembly/ 7-bit \"Length Indicators\" / LI value > PDU size	R99	R	All UEs	1 Execution: PS preferred	
7.2.3.7	AM RLC / Segmentation and Reassembly / 15-bit \"Length Indicators\" / Padding or Piggy-backed Status	R99	R	All UEs		
7.2.3.8	AM RLC / Segmentation and Reassembly / 15-bit \"Length Indicators\" / LI = 0	R99	R	All UEs		
7.2.3.9	AM RLC / Segmentation and Reassembly / 15-bit \"Length Indicators\" / One octet short LI	R99	R	All UEs		
7.2.3.10	AM RLC / Reassembly/ 15-bit \"Length Indicators\" / Reserved LI value	R99	R	All UEs		
7.2.3.11	AM RLC / Reassembly/ 15-bit \"Length Indicators\" / LI value > PDU size	R99	R	All UEs		
7.2.3.12	AM RLC / Correct use of Sequence Numbering	R99	R	All UEs	1 Execution: PS preferred	
7.2.3.13	AM RLC / Control of Transmit Window	R99	R	All UEs 	1 Execution: PS preferred	
7.2.3.14	AM RLC / Control of Receive Window	R99	R	All UEs	1 Execution: PS preferred	
7.2.3.15	AM RLC / Polling for status / Last PDU in transmission queue	R99	R	All UEs	1 Execution: PS preferred	
7.2.3.16	AM RLC / Polling for status / Last PDU in retransmission queue	R99	R	All UEs	1 Execution: PS preferred	
7.2.3.17	AM RLC / Polling for status / Poll every Poll_PDU PDUs	R99	R	All UEs	1 Execution: PS preferred	
7.2.3.18	AM RLC / Polling for status / Poll every Poll_SDU SDUs	R99	R	All UEs	1 Execution: PS preferred	
7.2.3.19	AM RLC / Polling for status / Timer triggered polling (Timer_Poll_Periodic)	R99	R	All UEs	1 Execution: PS preferred	
7.2.3.20	AM RLC / Polling for status / Polling on Poll_Window% of transmission window	R99	R	All UEs	1 Execution: PS preferred	
7.2.3.21	AM RLC / Polling for status / Operation of Timer_Poll timer / Timer expiry	R99	R	All UEs	1 Execution: PS preferred	
7.2.3.22	AM RLC / Polling for status / Operation of Timer_Poll timer / Stopping Timer_Poll timer	R99	R	All UEs	1 Execution: PS preferred	
7.2.3.23	AM RLC / Polling for status / Operation of Timer_Poll timer / Restart of the Timer_Poll timer	R99	R	All UEs	1 Execution: PS preferred	
7.2.3.24	AM RLC / Polling for status / Operation of timer Timer_Poll_Prohibit	R99	R	All UEs	1 Execution: PS preferred	
7.2.3.25	AM RLC / Receiver Status Triggers / Detection of missing PDUs	R99	R	All UEs	1 Execution: PS preferred	
7.2.3.26	AM RLC / Receiver Status Triggers / Operation of timer Timer_Status_Periodic	R99	R	All UEs	1 Execution: PS preferred	
7.2.3.27	AM RLC / Receiver Status Triggers / Operation of timer Timer_Status_Prohibit	R99	R	All UEs	1 Execution: PS preferred	
7.2.3.28	AM RLC / Status reporting / Abnormal conditions / Reception of LIST SUFI with Length set to zero	R99	R	All UEs	1 Execution: PS preferred	
7.2.3.29	AM RLC / Timer based discard, with explicit signalling / Expiry of Timer_Discard	R99	R	All UEs		
7.2.3.29a	AM RLC / Timer based discard, with explicit signalling / Expiry of Timer_Discard when Timer_STATUS_prohibit is active	R99	R	All UEs		
7.2.3.30	AM RLC / Timer based discard, with explicit signalling / Obsolete MRW_ACK	R99	R	All UEs		
7.2.3.31	AM RLC / Timer based discard, with explicit signalling / Failure of MRW procedure	R99	R	All UEs		
7.2.3.32	AM RLC / SDU discard after MaxDAT number of retransmissions	R99	R	All UEs	1 Execution: PS preferred	
7.2.3.33	AM RLC / Operation of the RLC Reset procedure / UE Originated	R99	R	All UEs	1 Execution: PS preferred	
7.2.3.34	AM RLC / Operation of the RLC Reset procedure / UE Terminated	R99	R	All UEs	1 Execution: PS preferred	
7.2.3.35	AM RLC / Reconfiguration of RLC parameters by upper layers	R99	R	All UEs	1 Execution: PS preferred	
7.2.3.36	AM RLC / Flexible handling of RLC PDU sizes for AM RLC	Rel-7	C578	UEs supporting FDD and MAC-ehs	1 Execution: PS	
7.2.3.37	RLC PDU Size Adaptation in Uplink	Rel-8	C638	UEs supporting FDD and MAC-i/is	1 Execution: PS	
7.2.3.38	AM RLC / Flexible handling of RLC PDU sizes for AM RLC in uplink	Rel-8	C638	UEs supporting FDD and MAC-i/is	1 Execution: PS	
